1,Titanic,Par.,"$600,788,188 ","3,265","$28,638,131 ","2,674",19-Dec
2,Men in Black,Sony,"$250,690,539 ","3,180","$51,068,455 ","3,020",2-Jul
3,The Lost World: Jurassic Park,Uni.,"$229,086,679 ","3,565","$72,132,785 ","3,281",23-May
4,Liar Liar,Uni.,"$181,410,615 ","2,909","$31,423,025 ","2,845",21-Mar
5,Air Force One,Sony,"$172,956,409 ","2,981","$37,132,505 ","2,919",25-Jul
6,As Good as It Gets,Sony,"$148,478,011 ","1,837","$12,606,928 ","1,572",25-Dec
7,Star Wars (Special Edition),Fox,"$138,257,865 ","2,375","$35,906,661 ","2,104",31-Jan
8,My Best Friend's Wedding,Sony,"$127,120,029 ","2,376","$21,678,377 ","2,134",20-Jun
9,Tomorrow Never Dies,MGM,"$125,304,276 ","2,807","$25,143,007 ","2,807",19-Dec
10,Face/Off,Par.,"$112,276,146 ","2,851","$23,387,530 ","2,621",27-Jun
11,Batman and Robin,WB,"$107,325,195 ","2,942","$42,872,605 ","2,934",20-Jun
12,George of the Jungle,BV,"$105,263,257 ","2,616","$16,540,791 ","2,506",18-Jul
13,Scream 2,Dim.,"$101,363,301 ","2,688","$32,926,342 ","2,663",12-Dec
14,Con Air,BV,"$101,117,573 ","2,941","$24,131,738 ","2,824",6-Jun
15,Contact,WB,"$100,920,329 ","2,314","$20,584,908 ","1,923",11-Jul
16,Hercules,BV,"$99,112,101 ","2,930","$249,567 ",1,27-Jun
17,Flubber,BV,"$92,977,226 ","2,679","$26,725,207 ","2,641",26-Nov
18,Conspiracy Theory,WB,"$75,982,834 ","2,806","$19,313,566 ","2,806",8-Aug
19,I Know What You Did Last Summer,Sony,"$72,586,134 ","2,524","$15,818,645 ","2,524",17-Oct
20,The Empire Strikes Back (Special Edition),Fox,"$67,597,694 ","2,322","$21,975,993 ","2,111",21-Feb
21,Dante's Peak,Uni.,"$67,127,760 ","2,761","$18,479,435 ","2,657",7-Feb
22,Anaconda,Sony,"$65,885,767 ","2,456","$16,620,887 ","2,456",11-Apr
23,L.A. Confidential,WB,"$64,616,940 ","1,625","$5,211,198 ",769,19-Sep
24,In & Out,Par.,"$63,856,929 ","2,452","$15,019,821 ","1,992",19-Sep
25,The Fifth Element,Sony,"$63,820,180 ","2,500","$17,031,345 ","2,500",9-May
26,Mouse Hunt,DW,"$61,917,389 ","2,233","$6,062,922 ","2,152",19-Dec
27,The Saint,Par.,"$61,363,304 ","2,500","$16,278,873 ","2,307",4-Apr
28,The Devil's Advocate,WB,"$60,944,660 ","2,404","$12,170,536 ","2,161",17-Oct
29,Kiss the Girls,Par.,"$60,527,873 ","2,406","$13,215,167 ","2,271",3-Oct
30,Jungle 2 Jungle,BV,"$59,927,618 ","2,340","$12,812,047 ","2,316",7-Mar
31,Anastasia,Fox,"$58,406,347 ","2,511","$120,541 ",1,21-Nov
32,The Jackal,Uni.,"$54,930,280 ","2,309","$15,164,595 ","2,193",14-Nov
33,Spawn,NL,"$54,870,175 ","2,604","$19,738,749 ","2,536",1-Aug
34,Starship Troopers,Sony,"$54,814,377 ","2,971","$22,058,773 ","2,971",7-Nov
35,Austin Powers: International Man of Mystery,NL,"$53,883,989 ","2,187","$9,548,111 ","2,187",2-May
36,Breakdown,Par.,"$50,159,144 ","2,348","$12,307,128 ","2,108",2-May
37,Absolute Power,Sony,"$50,068,310 ","2,568","$14,678,016 ","2,568",14-Feb
38,Evita,BV,"$50,047,179 ","1,045","$195,085 ",2,10-Jan
39,Volcano,Fox,"$49,323,468 ","2,777","$14,581,740 ","2,774",25-Apr
40,Speed 2: Cruise Control,Fox,"$48,608,066 ","2,625","$16,158,942 ","2,615",13-Jun
41,The Game,Poly,"$48,323,648 ","2,521","$14,337,029 ","2,403",12-Sep
42,G.I. Jane,BV,"$48,169,156 ","2,043","$11,094,241 ","1,945",22-Aug
43,Alien Resurrection,Fox,"$47,795,658 ","2,449","$16,474,092 ","2,415",26-Nov
44,The Full Monty,FoxS,"$45,950,122 ",783,"$176,585 ",6,19-Sep
45,The Rainmaker (1997),Par.,"$45,916,769 ","2,369","$10,626,507 ","2,317",21-Nov
