1,Avatar,Fox,"$749,766,139 ","3,461","$77,025,481 ","3,452",18-Dec,12-Aug
2,Transformers: Revenge of the Fallen,P/DW,"$402,111,870 ","4,293","$108,966,307 ","4,234",24-Jun,15-Oct
3,Harry Potter and the Half-Blood Prince,WB,"$301,959,197 ","4,455","$77,835,727 ","4,325",15-Jul,17-Dec
4,The Twilight Saga: New Moon,Sum.,"$296,623,634 ","4,124","$142,839,137 ","4,024",20-Nov,1-Apr
5,Up,BV,"$293,004,164 ","3,886","$68,108,790 ","3,766",29-May,5-Nov
6,The Hangover,WB,"$277,322,503 ","3,545","$44,979,319 ","3,269",5-Jun,17-Dec
7,Star Trek,Par.,"$257,730,019 ","4,053","$75,204,289 ","3,849",8-May,1-Oct
8,The Blind Side,WB,"$255,959,475 ","3,407","$34,119,372 ","3,110",20-Nov,3-Jun
9,Alvin and the Chipmunks: The Squeakquel,Fox,"$219,614,612 ","3,747","$48,875,415 ","3,700",23-Dec,20-May
10,Sherlock Holmes,WB,"$209,028,679 ","3,626","$62,304,277 ","3,626",25-Dec,29-Apr
11,Monsters Vs. Aliens,P/DW,"$198,351,526 ","4,136","$59,321,095 ","4,104",27-Mar,27-Aug
12,Ice Age: Dawn of the Dinosaurs,Fox,"$196,573,705 ","4,102","$41,690,382 ","4,099",1-Jul,22-Nov
13,X-Men Origins: Wolverine,Fox,"$179,883,157 ","4,102","$85,058,003 ","4,099",1-May,1-Oct
14,Night at the Museum: Battle of the Smithsonian,Fox,"$177,243,721 ","4,101","$54,173,286 ","4,096",22-May,1-Nov
15,2012,Sony,"$166,112,167 ","3,444","$65,237,614 ","3,404",13-Nov,25-Feb
16,The Proposal,BV,"$163,958,031 ","3,158","$33,627,598 ","3,056",19-Jun,5-Nov
17,Fast and Furious,Uni.,"$155,064,265 ","3,674","$70,950,500 ","3,461",3-Apr,2-Jul
18,G.I. Joe: The Rise of Cobra,Par.,"$150,201,498 ","4,007","$54,713,046 ","4,007",7-Aug,5-Nov
19,Gran Torino,WB,"$148,095,302 ","3,045","$271,720 ",6,9-Jan,18-Jun
20,Paul Blart: Mall Cop,Sony,"$146,336,178 ","3,206","$31,832,636 ","3,144",16-Jan,25-May
21,Taken,Fox,"$145,000,989 ","3,184","$24,717,037 ","3,183",30-Jan,5-Jul
22,A Christmas Carol (2009),BV,"$137,855,863 ","3,683","$30,051,075 ","3,683",6-Nov,4-Feb
23,Angels & Demons,Sony,"$133,375,846 ","3,527","$46,204,168 ","3,527",15-May,2-Aug
24,Terminator Salvation,WB,"$125,322,469 ","3,602","$42,558,390 ","3,530",21-May,10-Sep
25,Cloudy with a Chance of Meatballs,Sony,"$124,870,275 ","3,119","$30,304,648 ","3,119",18-Sep,28-Jan
26,Inglourious Basterds,Wein.,"$120,540,719 ","3,358","$38,054,676 ","3,165",21-Aug,17-Dec
27,G-Force,BV,"$119,436,770 ","3,697","$31,706,934 ","3,697",24-Jul,3-Dec
28,District 9,TriS,"$115,646,235 ","3,180","$37,354,308 ","3,049",14-Aug,1-Nov
29,It's Complicated,Uni.,"$112,735,375 ","2,955","$22,100,820 ","2,887",25-Dec,1-Apr
30,Couples Retreat,Uni.,"$109,204,945 ","3,074","$34,286,740 ","3,000",9-Oct,4-Feb
31,Paranormal Activity,Par.,"$107,918,810 ","2,712","$77,873 ",12,16-Oct,21-Jan
32,Watchmen,WB,"$107,509,799 ","3,611","$55,214,334 ","3,611",6-Mar,28-May
33,The Princess and the Frog,BV,"$104,400,899 ","3,475","$786,190 ",2,11-Dec,1-Apr
34,Public Enemies,Uni.,"$97,104,620 ","3,336","$25,271,675 ","3,334",1-Jul,3-Sep
35,Julie & Julia,Sony,"$94,125,426 ","2,528","$20,027,956 ","2,354",7-Aug,29-Nov
36,He's Just Not That Into You,WB (NL),"$93,953,653 ","3,175","$27,785,487 ","3,175",6-Feb,18-Jun
37,Tyler Perry's Madea Goes to Jail,LGF,"$90,508,336 ","2,203","$41,030,947 ","2,032",20-Feb,23-Apr
38,The Ugly Truth,Sony,"$88,915,214 ","2,975","$27,605,576 ","2,882",24-Jul,4-Oct
39,Up in the Air,Par.,"$83,823,381 ","2,218","$1,181,450 ",15,23-Dec,8-Apr
40,Knowing,Sum.,"$79,957,634 ","3,337","$24,604,751 ","3,332",20-Mar,9-Jul
41,Hannah Montana The Movie,BV,"$79,576,189 ","3,231","$32,324,487 ","3,118",10-Apr,13-Aug
42,Where the Wild Things Are,WB,"$77,233,467 ","3,735","$32,695,407 ","3,735",16-Oct,11-Feb
43,Zombieland,Sony,"$75,590,286 ","3,171","$24,733,155 ","3,036",2-Oct,13-Dec
44,Coraline,Focus,"$75,286,229 ","2,320","$16,849,640 ","2,299",6-Feb,2-Jul
45,Law Abiding Citizen,Over.,"$73,357,727 ","2,890","$21,039,502 ","2,890",16-Oct,4-Feb
46,Hotel for Dogs,P/DW,"$73,034,460 ","3,271","$17,012,212 ","3,271",16-Jan,28-May
47,Michael Jackson's This Is It,Sony,"$72,091,016 ","3,481","$23,234,394 ","3,481",28-Oct,3-Dec
48,"I Love You, Man",P/DW,"$71,440,011 ","2,829","$17,810,270 ","2,711",20-Mar,4-Jun
49,Obsessed,SGem,"$68,261,644 ","2,634","$28,612,730 ","2,514",24-Apr,14-Jun
50,Race to Witch Mountain,BV,"$67,172,594 ","3,268","$24,402,214 ","3,187",13-Mar,9-Jul
51,The Final Destination,WB (NL),"$66,477,700 ","3,121","$27,408,309 ","3,121",28-Aug,26-Nov
52,The Taking of Pelham 1 2 3,Sony,"$65,452,312 ","3,077","$23,373,102 ","3,074",12-Jun,23-Aug
53,Friday the 13th (2009),WB (NL),"$65,002,019 ","3,105","$40,570,365 ","3,105",13-Feb,23-Apr
54,17 Again,WB (NL),"$64,167,069 ","3,255","$23,722,310 ","3,255",17-Apr,6-Aug
55,The Time Traveler's Wife,WB (NL),"$63,414,846 ","2,988","$18,623,171 ","2,988",14-Aug,3-Dec
56,Bruno,Uni.,"$60,054,530 ","2,759","$30,619,130 ","2,756",10-Jul,20-Aug
57,Bride Wars,Fox,"$58,715,510 ","3,228","$21,058,173 ","3,226",9-Jan,10-May
58,The Haunting in Connecticut,LGF,"$55,389,516 ","2,732","$23,004,765 ","2,732",27-Mar,14-May
59,Ghosts of Girlfriends Past,WB (NL),"$55,250,026 ","3,175","$15,411,434 ","3,175",1-May,13-Aug
60,Funny People,Uni.,"$51,855,045 ","3,008","$22,657,780 ","3,007",31-Jul,17-Sep
61,Tyler Perry's I Can Do Bad All By Myself,LGF,"$51,733,921 ","2,255","$23,446,785 ","2,255",11-Sep,29-Oct
62,My Bloody Valentine 3-D,LGF,"$51,545,952 ","2,534","$21,241,456 ","2,534",16-Jan,12-Mar
63,Old Dogs,BV,"$49,492,060 ","3,425","$16,894,511 ","3,425",25-Nov,1-Apr
64,Land of the Lost,Uni.,"$49,438,370 ","3,534","$18,837,350 ","3,521",5-Jun,13-Aug
65,My Sister's Keeper,WB,"$49,200,230 ","2,606","$12,442,212 ","2,606",26-Jun,8-Oct
66,"Precious: Based on the Novel ""Push"" by Sapphire",LGF,"$47,566,524 ","1,003","$1,872,458 ",18,20-Nov,18-Mar
67,Underworld: Rise of the Lycans,SGem,"$45,802,315 ","2,942","$20,828,511 ","2,942",23-Jan,1-Mar
68,Confessions of a Shopaholic,BV,"$44,277,350 ","2,534","$15,066,360 ","2,507",13-Feb,28-May
69,Year One,Sony,"$43,337,279 ","3,024","$19,610,304 ","3,022",19-Jun,16-Aug
70,The Unborn (2009),Uni.,"$42,670,410 ","2,359","$19,810,585 ","2,357",9-Jan,5-Mar
71,Planet 51,Sony,"$42,194,060 ","3,035","$12,286,129 ","3,035",20-Nov,14-Mar
72,Drag Me to Hell,Uni.,"$42,100,625 ","2,510","$15,825,480 ","2,508",29-May,6-Aug
