1,Home Alone,Fox,"$285,761,243 ","2,173","$17,081,997 ","1,202",16-Nov
2,Ghost,Par.,"$217,631,306 ","1,766","$12,191,540 ","1,101",13-Jul
3,Dances with Wolves,Orion,"$184,208,848 ","1,636","$598,257 ",14,23-Nov
4,Pretty Woman,BV,"$178,406,268 ","1,811","$11,280,591 ","1,325",23-Mar
5,Teenage Mutant Ninja Turtles,NL,"$135,265,915 ","2,377","$25,398,367 ","2,006",30-Mar
6,The Hunt for Red October,Par.,"$122,012,643 ","1,817","$17,161,835 ","1,225",2-Mar
7,Total Recall,Sony,"$119,394,840 ","2,131","$25,533,700 ","2,060",1-Jun
8,Die Hard 2: Die Harder,Fox,"$117,540,947 ","2,507","$21,744,661 ","2,507",6-Jul
9,Driving Miss Daisy,WB,"$106,593,296 ","1,668","$73,745 ",3,26-Jan
10,Dick Tracy,BV,"$103,738,726 ","2,332","$22,543,911 ","2,332",15-Jun
11,Kindergarten Cop,Uni.,"$91,457,688 ","1,937","$7,918,560 ","1,833",22-Dec
12,Back to the Future Part III,Uni.,"$87,727,583 ","2,070","$19,089,645 ","2,019",25-May
13,Presumed Innocent,WB,"$86,303,188 ","1,451","$11,718,981 ","1,349",27-Jul
14,Days of Thunder,Par.,"$82,670,733 ","2,307","$15,490,445 ","2,307",29-Jun
15,Another 48 HRS.,Par.,"$80,818,974 ","2,721","$19,475,559 ","2,721",8-Jun
16,Three Men and a Little Lady,BV,"$71,609,321 ","1,614","$13,774,642 ","1,281",21-Nov
17,Bird on a Wire,Uni.,"$70,978,012 ","2,008","$15,338,160 ","1,944",18-May
18,Born on the Fourth of July,Uni.,"$70,001,698 ","1,434","$172,021 ",5,5-Jan
19,The Godfather Part III,Par.,"$66,666,062 ","1,922","$19,558,558 ","1,901",25-Dec
20,Flatliners,Col.,"$61,489,265 ","1,483","$10,034,685 ","1,319",10-Aug
21,Misery,Col.,"$61,276,872 ","1,370","$10,076,834 ","1,244",30-Nov
22,Edward Scissorhands,Fox,"$56,362,352 ","1,372","$159,622 ",2,14-Dec
23,Problem Child,Uni.,"$53,470,891 ","1,769","$10,026,900 ","1,714",27-Jul
24,Arachnophobia,BV,"$53,208,180 ","2,005","$8,045,760 ","1,479",20-Jul
25,Look Who's Talking Too,TriS,"$47,789,074 ","1,647","$8,100,640 ","1,576",14-Dec
26,Hard to Kill,WB,"$47,410,827 ","1,508","$9,213,631 ","1,301",9-Feb
27,Goodfellas,WB,"$46,836,214 ","1,328","$6,368,901 ","1,070",19-Sep
28,Marked for Death,Fox,"$46,044,396 ","1,974","$11,790,047 ","1,968",5-Oct
29,Robocop 2,Orion,"$45,681,173 ","1,806","$14,145,411 ","1,768",22-Jun
30,The Jungle Book (re-issue) (1990),BV,"$44,645,619 ","1,923","$7,708,029 ","1,901",13-Jul
31,Young Guns II,Fox,"$44,143,410 ","1,770","$8,017,438 ","1,770",3-Aug
32,Gremlins 2: The New Batch,WB,"$41,482,207 ","2,155","$9,702,804 ","2,075",15-Jun
33,Rocky V,UA,"$40,946,358 ","2,106","$14,073,170 ","2,053",16-Nov
34,Joe Versus the Volcano,WB,"$39,404,261 ","1,802","$9,252,232 ","1,802",9-Mar
35,Postcards from the Edge,Col.,"$39,071,603 ","1,323","$7,871,856 ","1,013",14-Sep
36,Mermaids,Orion,"$35,419,397 ","1,154","$3,514,678 ",920,14-Dec
37,Darkman,Uni.,"$33,878,502 ","1,833","$8,054,860 ","1,786",24-Aug
38,Air America,TriS,"$31,053,601 ","1,902","$8,064,480 ","1,902",10-Aug
39,Predator 2,Fox,"$30,669,413 ","1,978","$8,784,943 ","1,950",21-Nov
40,Pacific Heights,Fox,"$29,381,956 ","1,291","$6,912,637 ","1,278",28-Sep
41,Child's Play 2,Uni.,"$28,501,605 ","2,017","$10,718,520 ","1,996",9-Nov
42,The Rescuers Down Under,BV,"$27,931,461 ","1,487","$3,499,819 ","1,230",16-Nov
43,Internal Affairs,Par.,"$27,734,391 ",986,"$5,043,516 ",975,12-Jan
44,Cadillac Man,Orion,"$27,627,310 ","1,878","$6,712,079 ","1,826",18-May
45,Memphis Belle,WB,"$27,441,977 ","1,368","$5,026,846 ","1,087",12-Oct
46,Glory,TriS,"$26,828,365 ",811,"$63,661 ",3,16-Feb
47,House Party,NL,"$26,385,627 ",700,"$4,611,024 ",520,23-Mar
48,Jacob's Ladder,TriS,"$26,118,851 ","1,264","$7,500,760 ","1,052",2-Nov
49,The Exorcist III,Fox,"$26,098,824 ","1,414","$9,312,219 ","1,288",17-Aug
50,Navy Seals,Orion,"$25,069,101 ","1,355","$6,543,832 ","1,341",20-Jul
51,Ernest Goes to Jail,BV,"$25,029,569 ","1,956","$6,143,372 ","1,943",6-Apr
52,Ghost Dad,Uni.,"$24,707,633 ","1,221","$4,803,480 ","1,213",29-Jun
53,My Blue Heaven,WB,"$23,591,472 ","1,868","$6,207,092 ","1,859",17-Aug
54,The Russia House,MGM,"$22,997,992 ",768,"$4,435,650 ",717,22-Dec
55,The First Power,Orion,"$22,424,195 ","1,336","$5,677,715 ","1,332",6-Apr
56,The Rookie (1990),WB,"$21,633,874 ","1,862","$5,510,056 ","1,862",7-Dec
57,The Freshman,TriS,"$21,460,601 ","1,044","$205,876 ",6,27-Jul
58,The Adventures of Ford Fairlane,Fox,"$21,413,502 ","1,263","$6,374,391 ","1,245",13-Jul
59,Quigley Down Under,MGM,"$21,413,105 ","1,094","$3,853,149 ",996,19-Oct
60,Madhouse,Orion,"$21,036,771 ","1,555","$5,240,816 ","1,552",16-Feb
61,Jetsons: The Movie,Uni.,"$20,305,841 ","1,566","$5,029,640 ","1,562",6-Jul
62,Stella,BV,"$20,240,128 ","1,393","$4,311,656 ","1,033",2-Feb
63,Taking Care of Business,BV,"$20,005,435 ","1,176","$3,620,054 ","1,074",17-Aug
64,Betsy's Wedding,BV,"$19,740,070 ","1,058","$4,662,488 ","1,048",22-Jun
65,Duck Tales: The Movie,BV,"$18,115,724 ","1,558","$3,870,366 ","1,549",3-Aug
66,Sibling Rivalry,Col.,"$17,854,933 ","1,455","$4,017,930 ","1,448",26-Oct
67,White Palace,Uni.,"$17,487,531 ",892,"$1,078,697 ",99,26-Oct
68,The Guardian (1990),Uni.,"$17,037,887 ","1,736","$5,565,620 ","1,684",27-Apr
69,Death Warrant,MGM,"$16,853,487 ","1,090","$5,019,902 ","1,089",14-Sep
70,Tremors,Uni.,"$16,667,084 ","1,477","$3,731,520 ","1,472",19-Jan
71,Tales From the Darkside: The Movie,Par.,"$16,324,573 ","1,535","$5,028,096 ","1,535",4-May
72,Men at Work,Triu,"$16,247,964 ","1,035","$3,184,311 ",962,24-Aug
73,I Love You to Death,TriS,"$16,186,793 ","1,095","$4,014,640 ","1,072",6-Apr
74,Avalon,Triu,"$15,740,796 ",635,"$226,613 ",7,19-Oct
75,The Bonfire of the Vanities,WB,"$15,691,192 ","1,395","$4,216,063 ","1,373",22-Dec
76,Revenge,Col.,"$15,645,616 ","1,382","$6,086,672 ","1,379",16-Feb
77,Reversal of Fortune,WB,"$15,445,131 ",661,"$176,985 ",7,9-Nov
78,Mr. Destiny,BV,"$15,379,253 ","1,025","$2,991,605 ",727,12-Oct
79,Spaced Invaders,BV,"$15,369,573 ","1,845","$4,474,336 ","1,821",27-Apr
80,Quick Change,WB,"$15,260,154 ","1,596","$4,700,960 ","1,596",13-Jul
81,Fire Birds,BV,"$14,760,451 ","2,006","$6,358,761 ","2,006",25-May
82,Wild at Heart,Gold.,"$14,560,247 ",625,"$2,913,764 ",532,31-Aug
83,The Lord of the Flies,Col.,"$13,985,225 ",919,"$4,410,457 ",888,16-Mar
84,Crazy People,Par.,"$13,236,513 ","1,389","$3,357,800 ","1,389",13-Apr
85,Bad Influence,Triu,"$12,626,043 ","1,300","$3,822,019 ","1,298",9-Mar
86,Graveyard Shift,Par.,"$11,582,891 ","1,603","$5,082,300 ","1,603",26-Oct
87,Pump Up the Volume,NL,"$11,541,758 ",821,"$1,601,489 ",799,24-Aug
88,Opportunity Knocks,Uni.,"$11,359,129 ","1,275","$3,512,625 ","1,275",30-Mar
89,Q & A,TriS,"$11,207,891 ",923,"$2,816,605 ",912,27-Apr
90,Wild Orchid,Triu,"$11,060,485 ",822,"$2,622,637 ",819,27-Apr
91,Nuns on the Run,Fox,"$10,959,015 ",702,"$658,835 ",76,30-Mar
92,Narrow Margin,TriS,"$10,873,237 ","1,253","$3,628,060 ","1,132",21-Sep
93,The Witches,WB,"$10,360,553 ",879,"$2,221,402 ",879,24-Aug
94,Adventures of Milo and Otis (Re-issue),Col.,"$10,351,534 ",915,"$1,708,915 ",914,15-Jun
95,The Two Jakes,Par.,"$10,005,969 ","1,206","$3,729,149 ","1,206",10-Aug
96,Miami Blues,Orion,"$9,888,167 ",833,"$3,002,997 ",832,20-Apr
97,Havana,Uni.,"$9,243,140 ",835,"$2,175,360 ",824,14-Dec
98,Nightbreed,Fox,"$8,862,354 ","1,488","$3,708,918 ","1,488",16-Feb
99,Cry-Baby,Uni.,"$8,266,343 ","1,236","$3,004,905 ","1,229",6-Apr
100,Blue Steel,MGM,"$8,217,997 ","1,307","$2,895,744 ","1,307",16-Mar
101,Funny About Love,Par.,"$8,141,292 ","1,213","$3,036,352 ","1,213",21-Sep
102,Almost an Angel,Par.,"$6,939,946 ","1,373","$1,608,365 ","1,373",22-Dec
103,Delta Force 2: Operation Stranglehold,MGM,"$6,698,361 ",909,"$1,854,379 ",908,24-Aug
104,Flashback,Par.,"$6,488,114 ",875,"$2,910,116 ",875,2-Feb
105,Men Don't Leave,WB,"$6,070,725 ",802,"$62,419 ",3,23-Feb
106,Night of the Living Dead,Col.,"$5,835,247 ","1,544","$2,884,679 ","1,544",19-Oct
107,Stanley & Iris,MGM,"$5,820,015 ",907,"$2,102,831 ",907,9-Feb
108,Leatherface: The Texas Chainsaw Massacre III,NL,"$5,765,562 ","1,107","$2,692,087 ","1,107",12-Jan
109,Hardware,Mira.,"$5,728,953 ",695,"$2,381,285 ",695,14-Sep
110,Loose Cannons,TriS,"$5,585,154 ","1,214","$2,239,830 ","1,214",9-Feb
111,Graffiti Bridge,WB,"$4,562,778 ",688,"$2,447,108 ",688,2-Nov
112,I Come in Peace,Triu,"$4,348,368 ","1,041","$1,912,421 ","1,041",28-Sep
113,Lambada,WB,"$4,263,112 ","1,117","$2,031,181 ","1,117",16-Mar
114,Heart Condition,NL,"$4,134,992 ",885,"$2,149,786 ",885,2-Feb
115,"Welcome Home, Roxy Carmichael",Par.,"$3,989,297 ",635,"$1,753,870 ",635,12-Oct
116,Desperate Hours (1990),MGM,"$2,742,912 ","1,033","$1,367,657 ","1,033",5-Oct
117,The Forbidden Dance,Col.,"$1,823,154 ",637,"$720,864 ",637,16-Mar
118,The Nutcracker Prince,WB,"$1,781,694 ",906,"$908,999 ",906,21-Nov
119,The Fourth War,Can.,"$1,305,887 ","1,005","$776,449 ","1,005",23-Mar
