1,Terminator 2: Judgment Day,TriS,"$204,843,345 ","2,495","$31,765,506 ","2,274",3-Jul
2,Robin Hood: Prince of Thieves,WB,"$165,493,908 ","2,369","$25,625,602 ","2,369",14-Jun
3,Beauty and the Beast,BV,"$145,863,363 ","1,960","$162,146 ",2,22-Nov
4,The Silence of the Lambs,Orion,"$130,742,922 ","1,642","$13,766,814 ","1,497",14-Feb
5,City Slickers,Col.,"$124,033,791 ","2,171","$13,032,121 ","1,992",7-Jun
6,Hook,TriS,"$119,654,823 ","2,254","$13,522,535 ","2,197",11-Dec
7,The Addams Family,Par.,"$113,502,426 ","2,411","$24,203,754 ","2,411",22-Nov
8,Sleeping with the Enemy,Fox,"$101,599,005 ","1,545","$13,777,943 ","1,406",8-Feb
9,Father of the Bride,BV,"$89,325,780 ","1,712","$7,031,146 ","1,561",20-Dec
10,The Naked Gun 2 1/2: The Smell of Fear,Par.,"$86,930,411 ","2,378","$20,817,139 ","2,378",28-Jun
11,Cape Fear,Uni.,"$79,091,969 ","1,707","$10,261,025 ",924,15-Nov
12,Teenage Mutant Ninja Turtles II,NL,"$78,656,813 ","2,868","$20,030,473 ","2,868",22-Mar
13,Backdraft,Uni.,"$77,868,585 ","1,983","$12,686,200 ","1,852",24-May
14,Star Trek VI: The Undiscovered Country,Par.,"$74,888,996 ","2,147","$18,162,837 ","1,804",6-Dec
15,The Prince of Tides,Col.,"$74,787,599 ","1,546","$10,035,412 ","1,405",27-Dec
16,JFK,WB,"$70,405,498 ","1,395","$5,223,658 ","1,164",20-Dec
17,Hot Shots!,Fox,"$69,467,617 ","1,999","$10,848,182 ","1,929",2-Aug
18,What About Bob?,BV,"$63,707,829 ","1,805","$9,216,334 ","1,463",17-May
19,101 Dalmatians (Re-issue) (1991),BV,"$60,830,285 ","1,825","$10,279,044 ","1,777",12-Jul
20,The Last Boy Scout,WB,"$59,509,925 ","1,823","$7,923,669 ","1,823",13-Dec
21,My Girl,Col.,"$59,489,799 ","2,089","$12,391,783 ","2,080",27-Nov
22,Boyz N the Hood,Col.,"$57,504,069 ",931,"$10,023,462 ",829,12-Jul
23,Doc Hollywood,WB,"$54,830,779 ","1,694","$7,251,854 ","1,575",2-Aug
24,Awakenings,Col.,"$52,096,475 ","1,330","$417,076 ",12,11-Jan
25,Bugsy,TriS,"$49,114,016 ","1,253","$140,358 ",4,20-Dec
26,New Jack City,WB,"$47,624,353 ",905,"$7,039,622 ",862,8-Mar
27,The Rocketeer,BV,"$46,704,056 ","1,903","$9,600,754 ","1,616",21-Jun
28,Thelma and Louise,MGM,"$45,360,915 ","1,180","$6,101,297 ","1,179",24-May
29,Point Break,Fox,"$43,218,387 ","1,625","$8,514,616 ","1,615",12-Jul
30,Regarding Henry,Par.,"$43,001,500 ","1,090","$6,146,782 ",800,12-Jul
31,The Fisher King,TriS,"$41,895,491 ","1,551","$311,662 ",10,27-Sep
32,Out for Justice,WB,"$39,673,161 ","2,010","$10,524,026 ","2,010",12-Apr
33,The Doctor,BV,"$38,120,905 ",958,"$165,392 ",6,16-Aug
34,Bill and Ted's Bogus Journey,Orion,"$38,037,513 ","1,649","$10,241,268 ","1,620",19-Jul
35,Dead Again,Par.,"$38,016,380 ",940,"$3,479,395 ",450,30-Aug
36,Soapdish,Par.,"$36,489,888 ","1,275","$6,736,380 ","1,275",31-May
37,Freddy's Dead: The Final Nightmare,NL,"$34,872,033 ","1,862","$12,966,525 ","1,862",13-Sep
38,White Fang,BV,"$34,793,160 ","1,259","$5,640,712 ","1,108",18-Jan
39,The Doors,TriS,"$34,416,893 ","1,236","$9,151,800 ",840,1-Mar
40,King Ralph,Uni.,"$34,002,045 ","1,646","$8,327,550 ","1,617",15-Feb
41,Curly Sue,WB,"$33,691,313 ","1,634","$4,974,958 ","1,634",25-Oct
42,Dying Young,Fox,"$33,669,178 ","1,552","$9,725,885 ","1,552",21-Jun
43,Jungle Fever,Uni.,"$32,482,682 ",844,"$5,332,860 ",636,7-Jun
44,Double Impact,Col.,"$30,102,717 ","1,747","$7,574,703 ","1,735",9-Aug
45,Green Card,BV,"$29,888,235 ",757,"$47,781 ",2,1-Feb
46,L.A. Story,TriS,"$28,862,081 ","1,122","$6,616,915 ","1,091",8-Feb
47,Deceived,BV,"$28,738,096 ","1,201","$4,316,719 ",969,27-Sep
