1,Rain Man,MGM,"$172,825,435 ","1,590","$7,005,719 ","1,248",16-Dec
2,Who Framed Roger Rabbit,BV,"$156,452,370 ","1,598","$11,226,239 ","1,045",24-Jun
3,Coming to America,Par.,"$128,152,301 ","2,064","$21,404,420 ","2,064",29-Jun
4,"Good Morning, Vietnam",BV,"$123,922,370 ","1,598","$194,308 ",4,15-Jan
5,Big,Fox,"$114,968,774 ","1,419","$8,216,190 ","1,132",3-Jun
6,Twins,Uni.,"$111,938,388 ","1,659","$11,174,980 ","1,396",9-Dec
7,Crocodile Dundee II,Par.,"$109,306,210 ","2,837","$24,462,976 ","2,837",25-May
8,Die Hard,Fox,"$83,008,852 ","1,713","$601,851 ",21,22-Jul
9,Moonstruck,MGM,"$80,640,528 ","1,178","$127,599 ",7,15-Jan
10,The Naked Gun: From the Files of Police Squad!,Par.,"$78,756,177 ","1,969","$9,331,746 ","1,576",2-Dec
11,Cocktail,BV,"$78,222,753 ","1,462","$11,789,466 ","1,404",29-Jul
12,Beetlejuice,WB,"$73,707,461 ","1,582","$8,030,897 ","1,000",1-Apr
13,Working Girl,Fox,"$63,779,477 ","1,149","$4,718,485 ","1,051",23-Dec
14,A Fish Called Wanda,MGM,"$62,493,712 ","1,223","$115,418 ",3,5-Aug
15,Scrooged,Par.,"$60,328,558 ","1,897","$13,027,842 ","1,262",23-Nov
16,Willow,MGM,"$57,269,863 ","1,209","$8,300,169 ","1,024",20-May
17,Rambo III,TriS,"$53,715,611 ","2,562","$13,034,238 ","2,562",25-May
18,Oliver & Company,BV,"$53,279,055 ","1,503","$4,022,752 ",952,18-Nov
19,Bull Durham,Orion,"$50,888,729 ","1,297","$5,009,301 ","1,238",17-Jun
20,A Nightmare on Elm Street 4: The Dream Master,NL,"$49,369,899 ","1,767","$12,833,403 ","1,765",19-Aug
21,The Land Before Time,Uni.,"$48,092,846 ","1,414","$7,526,025 ","1,395",18-Nov
22,Colors,Orion,"$46,616,067 ","1,388","$4,747,118 ",422,29-Apr
23,Young Guns,Fox,"$45,661,556 ","1,416","$7,011,393 ","1,387",12-Aug
24,The Last Emperor,Col.,"$43,984,230 ",877,"$149,460 ",5,15-Apr
25,Biloxi Blues,Uni.,"$43,184,798 ","1,330","$7,093,325 ","1,239",25-Mar
26,Dirty Rotten Scoundrels,Orion,"$42,039,085 ","1,515","$3,840,498 ","1,466",16-Dec
27,The Great Outdoors,Uni.,"$41,455,230 ","1,430","$6,121,115 ","1,223",17-Jun
28,Tequila Sunrise,WB,"$41,292,551 ","1,411","$6,350,974 ","1,115",2-Dec
29,Big Business,BV,"$40,150,487 ","1,232","$6,112,577 ","1,167",10-Jun
30,Bambi (Re-issue) (1988),BV,"$39,047,150 ","1,489","$7,216,741 ","1,483",15-Jul
