1,Top Gun,Par.,"$176,781,728 ","1,531","$8,193,052 ","1,028",16-May
2,Crocodile Dundee,Par.,"$174,803,506 ","1,495","$8,038,855 ",879,26-Sep
3,The Karate Kid Part II,Col.,"$115,103,979 ","1,610","$12,652,336 ","1,323",20-Jun
4,Star Trek IV: The Voyage Home,Par.,"$109,713,132 ","1,956","$16,881,888 ","1,349",26-Nov
5,The Color Purple,WB,"$94,175,854 ","1,109","$1,710,333 ",192,7-Feb
6,Back to School,Orion,"$91,258,000 ","1,751","$8,881,035 ","1,605",13-Jun
7,Aliens,Fox,"$85,160,248 ","1,454","$10,052,042 ","1,437",18-Jul
8,The Golden Child,Par.,"$79,817,937 ","1,714","$11,549,711 ","1,667",12-Dec
9,Ruthless People,BV,"$71,624,879 ","1,114","$5,274,306 ","1,111",27-Jun
10,Ferris Bueller's Day Off,Par.,"$70,136,369 ","1,330","$6,275,647 ","1,330",13-Jun
11,Down and Out in Beverly Hills,BV,"$62,134,225 ","1,084","$5,726,495 ",806,31-Jan
12,The Color of Money,BV,"$52,293,982 ","1,205","$6,357,877 ",635,17-Oct
13,Stand by Me,Col.,"$52,287,414 ",848,"$242,795 ",16,22-Aug
14,Legal Eagles,Uni.,"$49,851,591 ","1,248","$8,043,360 ","1,248",20-Jun
15,Cobra,WB,"$49,042,224 ","2,131","$12,653,032 ","2,131",23-May
16,An American Tail,Uni.,"$47,483,002 ","1,249","$5,234,446 ","1,246",21-Nov
17,Police Academy 3: Back in Training,WB,"$43,579,163 ","1,788","$9,049,586 ","1,788",21-Mar
18,Heartbreak Ridge,WB,"$42,724,017 ","1,647","$8,100,840 ","1,470",5-Dec
19,Peggy Sue Got Married,TriS,"$41,382,841 ","1,107","$6,942,408 ",865,10-Oct
20,Poltergeist II: The Other Side,MGM,"$40,996,665 ","1,599","$12,357,190 ","1,596",23-May
21,Short Circuit,TriS,"$40,697,761 ","1,310","$5,346,808 ","1,033",9-May
22,Pretty in Pink,Par.,"$40,471,663 ","1,117","$6,065,870 ",827,28-Feb
23,The Fly,Fox,"$40,456,565 ","1,201","$7,007,423 ","1,195",15-Aug
24,Three Amigos,Orion,"$39,246,734 ","1,466","$5,939,000 ","1,385",12-Dec
25,Little Shop of Horrors,WB,"$38,748,395 ","1,183","$3,659,884 ",866,19-Dec
26,About Last Night...,TriS,"$38,702,310 ",887,"$3,152,469 ",642,4-Jul
27,Running Scared,MGM,"$38,500,726 ","1,376","$5,227,757 ","1,376",27-Jun
28,The Money Pit,Uni.,"$37,499,651 ","1,193","$5,344,555 ","1,189",28-Mar
29,Gung Ho,Par.,"$36,611,610 ","1,175","$7,170,830 ","1,150",14-Mar
30,Hannah and Her Sisters,Orion,"$35,392,203 ",761,"$1,265,826 ",54,14-Mar
31,Nothing in Common,TriS,"$32,324,557 ",980,"$3,279,650 ",618,1-Aug
32,Lady and the Tramp (re-issue) (1986),BV,"$31,129,082 ","1,375","$2,804,272 ","1,355",19-Dec
