60,Runaway Jury,Fox,"$49,443,628 ","2,815","$11,836,705 ","2,815",17-Oct,26-Feb
61,Peter Pan,Uni.,"$48,462,608 ","2,813","$11,139,495 ","2,813",25-Dec,1-Apr
62,Agent Cody Banks,MGM,"$47,938,330 ","3,369","$14,064,317 ","3,369",14-Mar,31-Jul
63,The Jungle Book 2,BV,"$47,901,582 ","2,815","$11,441,733 ","2,808",14-Feb,29-May
64,The Rundown,Uni.,"$47,726,342 ","3,154","$18,553,765 ","3,152",26-Sep,25-Dec
65,Final Destination 2,NL,"$46,961,214 ","2,834","$16,017,141 ","2,834",31-Jan,5-Jun
66,Phone Booth,Fox,"$46,566,212 ","2,489","$15,021,088 ","2,481",4-Apr,31-Jul
67,28 Days Later,FoxS,"$45,064,915 ","1,407","$10,061,858 ","1,260",27-Jun,30-Oct
68,Lost in Translation,Focus,"$44,585,453 ",882,"$925,087 ",23,3-Oct,25-Mar
69,Tears of the Sun,SonR,"$43,734,876 ","2,973","$17,057,213 ","2,973",7-Mar,29-May
70,Under the Tuscan Sun,BV,"$43,610,723 ","1,701","$9,751,425 ","1,226",26-Sep,5-Feb
71,The Lizzie McGuire Movie,BV,"$42,734,455 ","2,825","$17,338,755 ","2,825",2-May,21-Aug
72,Secondhand Lions,NL,"$42,070,939 ","3,038","$12,139,832 ","3,013",19-Sep,1-Jan
73,The Hours,Par.,"$41,675,994 ","1,010","$338,622 ",11,14-Feb,22-May
74,Out of Time,MGM,"$41,088,845 ","3,076","$16,185,316 ","3,076",3-Oct,1-Feb
75,Rugrats Go Wild,Par.,"$39,402,572 ","3,041","$11,556,869 ","3,041",13-Jun,25-Sep
76,Head of State,DW,"$38,125,247 ","2,256","$13,503,484 ","2,151",28-Mar,17-Jul
77,Good Boy!,MGM,"$37,667,746 ","3,225","$13,107,022 ","3,225",10-Oct,15-Jan
78,Uptown Girls,MGM,"$37,182,494 ","2,495","$11,277,367 ","2,495",15-Aug,20-Nov
79,Matchstick Men,WB,"$36,906,460 ","2,711","$13,087,307 ","2,711",12-Sep,4-Dec
80,National Security,Sony,"$36,381,186 ","2,729","$14,369,694 ","2,729",17-Jan,22-May
81,What a Girl Wants,WB,"$36,105,433 ","2,964","$11,434,964 ","2,964",4-Apr,3-Jul
82,Jeepers Creepers 2,UA,"$35,667,218 ","3,124","$15,269,324 ","3,124",29-Aug,2-Jan
83,Intolerable Cruelty,Uni.,"$35,327,628 ","2,570","$12,525,075 ","2,564",10-Oct,11-Jan
84,Cradle 2 the Grave,WB,"$34,712,347 ","2,625","$16,521,468 ","2,625",28-Feb,15-May
85,Malibu's Most Wanted,WB,"$34,432,201 ","2,503","$12,618,159 ","2,503",18-Apr,27-Jul
86,The Hunted,Par.,"$34,244,097 ","2,517","$13,482,638 ","2,516",14-Mar,29-May
87,Stuck on You,Fox,"$33,832,741 ","3,007","$9,411,055 ","3,003",12-Dec,18-Mar
88,Dreamcatcher,WB,"$33,715,436 ","2,945","$15,027,423 ","2,945",21-Mar,29-May
89,The Pianist,Focus,"$32,572,577 ",842,"$111,261 ",6,28-Mar,8-Jun
90,Darkness Falls,SonR,"$32,551,396 ","2,865","$12,024,917 ","2,837",24-Jan,15-May
91,Bend It Like Beckham,FoxS,"$32,543,449 ","1,002","$161,528 ",6,1-Aug,23-Oct
92,The Core,Par.,"$31,186,896 ","3,019","$12,053,131 ","3,017",28-Mar,10-Jul
93,Hollywood Homicide,SonR,"$30,940,691 ","2,840","$11,112,632 ","2,840",13-Jun,2-Oct
94,Honey,Uni.,"$30,308,417 ","1,972","$12,856,040 ","1,942",5-Dec,26-Feb
95,The Fighting Temptations,Par.,"$30,250,745 ","2,026","$11,758,372 ","2,026",19-Sep,25-Dec
96,Johnny English,Uni.,"$28,082,366 ","2,236","$9,134,085 ","2,236",18-Jul,25-Sep
