1,Star Wars: Episode III - Revenge of the Sith,Fox,"$380,270,577 ","3,663","$108,435,841 ","3,661",19-May,20-Oct
2,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",BV,"$291,710,957 ","3,853","$65,556,312 ","3,616",9-Dec,11-May
3,Harry Potter and the Goblet of Fire,WB,"$290,013,036 ","3,858","$102,685,961 ","3,858",18-Nov,6-Apr
4,War of the Worlds,Par.,"$234,280,354 ","3,910","$64,878,725 ","3,908",29-Jun,22-Nov
5,King Kong,Uni.,"$218,080,025 ","3,627","$50,130,145 ","3,568",14-Dec,6-Apr
6,Wedding Crashers,NL,"$209,255,921 ","3,131","$33,900,720 ","2,925",15-Jul,31-Dec
7,Charlie and the Chocolate Factory,WB,"$206,459,076 ","3,790","$56,178,450 ","3,770",15-Jul,8-Dec
8,Batman Begins,WB,"$205,343,774 ","3,858","$48,745,440 ","3,858",15-Jun,30-Oct
9,Madagascar,DW,"$193,595,521 ","4,142","$47,224,594 ","4,131",27-May,13-Oct
10,Mr. & Mrs. Smith,Fox,"$186,336,279 ","3,451","$50,342,878 ","3,424",10-Jun,15-Dec
11,Hitch,Sony,"$179,495,555 ","3,575","$43,142,214 ","3,575",11-Feb,21-Jul
12,The Longest Yard,Par.,"$158,119,460 ","3,654","$47,606,480 ","3,634",27-May,6-Oct
13,Fantastic Four,Fox,"$154,696,080 ","3,619","$56,061,504 ","3,602",8-Jul,29-Dec
14,Chicken Little,BV,"$135,386,665 ","3,658","$40,049,778 ","3,654",4-Nov,13-Apr
15,Robots,Fox,"$128,200,012 ","3,776","$36,045,301 ","3,776",11-Mar,5-Sep
16,Walk the Line,Fox,"$119,519,402 ","3,160","$22,347,341 ","2,961",18-Nov,4-May
17,The Pacifier,BV,"$113,086,868 ","3,181","$30,552,694 ","3,131",4-Mar,14-Jul
18,Fun with Dick and Jane,Sony,"$110,332,737 ","3,239","$14,383,515 ","3,056",21-Dec,26-Feb
19,The 40-Year-Old Virgin,Uni.,"$109,449,237 ","3,006","$21,422,815 ","2,845",19-Aug,15-Dec
20,Million Dollar Baby,WB,"$100,492,203 ","2,375","$179,953 ",8,28-Jan,30-Jun
21,Flightplan,BV,"$89,707,299 ","3,424","$24,629,938 ","3,424",23-Sep,9-Mar
22,Saw II,Lions,"$87,039,965 ","2,949","$31,725,652 ","2,949",28-Oct,5-Jan
23,Monster-in-Law,NL,"$82,931,301 ","3,424","$23,105,133 ","3,424",13-May,5-Sep
24,Are We There Yet?,SonR,"$82,674,398 ","2,810","$18,575,214 ","2,709",21-Jan,16-Jun
25,Cheaper by the Dozen 2,Fox,"$82,571,173 ","3,211","$9,309,387 ","3,175",21-Dec,4-May
26,The Dukes of Hazzard,WB,"$80,270,227 ","3,785","$30,675,314 ","3,785",5-Aug,30-Oct
27,March of the Penguins,WIP,"$77,437,223 ","2,506","$137,492 ",4,22-Jul,1-Dec
28,The Ring Two,DW,"$76,231,249 ","3,341","$35,065,237 ","3,332",18-Mar,16-Jun
29,Constantine,WB,"$75,976,178 ","3,006","$29,769,098 ","3,006",18-Feb,16-Jun
30,The Exorcism of Emily Rose,SGem,"$75,072,454 ","3,045","$30,054,300 ","2,981",9-Sep,6-Nov
31,Four Brothers,Par.,"$74,494,381 ","2,649","$21,176,925 ","2,533",12-Aug,22-Nov
32,Sin City,Dim.,"$74,103,820 ","3,230","$29,120,273 ","3,230",1-Apr,11-Aug
33,The Interpreter,Uni.,"$72,708,161 ","2,814","$22,822,455 ","2,758",22-Apr,28-Jul
34,Sideways,FoxS,"$71,503,593 ","1,786","$207,042 ",4,21-Jan,19-May
35,Guess Who,Sony,"$68,915,888 ","3,147","$20,671,446 ","3,147",25-Mar,30-Jun
36,Sahara,Par.,"$68,671,925 ","3,200","$18,068,372 ","3,154",8-Apr,4-Aug
37,Coach Carter,Par.,"$67,264,877 ","2,574","$24,182,961 ","2,524",14-Jan,5-May
38,Herbie: Fully Loaded,BV,"$66,023,816 ","3,521","$12,709,221 ","3,521",22-Jun,13-Oct
39,The Amityville Horror (2005),MGM,"$65,233,369 ","3,323","$23,507,007 ","3,323",15-Apr,16-Jun
40,Sky High,BV,"$63,946,815 ","2,912","$14,631,784 ","2,905",29-Jul,1-Dec
41,Bewitched,Sony,"$63,313,159 ","3,188","$20,131,130 ","3,174",24-Jun,21-Aug
42,Jarhead,Uni.,"$62,658,220 ","2,448","$27,726,210 ","2,411",4-Nov,19-Jan
43,Cinderella Man,Uni.,"$61,649,911 ","2,820","$18,320,205 ","2,812",3-Jun,8-Dec
44,The Family Stone,Fox,"$60,062,868 ","2,469","$12,521,027 ","2,466",16-Dec,30-Mar
45,Red Eye,DW,"$57,891,803 ","3,134","$16,167,662 ","3,079",19-Aug,13-Oct
46,Memoirs of a Geisha,Sony,"$57,490,508 ","1,654","$682,504 ",8,23-Dec,12-Mar
47,White Noise,Uni.,"$56,386,759 ","2,279","$24,113,565 ","2,261",7-Jan,31-Mar
48,Wallace and Gromit: The Curse of the Were-Rabbit,DW,"$56,110,897 ","3,656","$16,025,987 ","3,645",7-Oct,5-Jan
49,Be Cool,MGM,"$56,046,979 ","3,216","$23,450,212 ","3,216",4-Mar,19-May
50,Crash,Lions,"$54,580,300 ","1,905","$9,107,071 ","1,864",6-May,6-Apr
51,"Yours, Mine and Ours",Par.,"$53,412,862 ","3,210","$17,461,108 ","3,206",23-Nov,16-Feb
52,Tim Burton's Corpse Bride,WB,"$53,359,111 ","3,204","$388,166 ",5,23-Sep,22-Dec
53,Kicking and Screaming,Uni.,"$52,842,724 ","3,470","$20,159,925 ","3,455",13-May,4-Aug
54,Hide and Seek,Fox,"$51,100,486 ","3,005","$21,959,233 ","3,005",28-Jan,5-May
55,The Hitchhiker's Guide to the Galaxy,BV,"$51,085,416 ","3,133","$21,103,203 ","3,133",29-Apr,21-Jul
56,Syriana,WB,"$50,824,620 ","1,775","$374,502 ",5,9-Dec,20-Apr
57,Tyler Perry's Diary of a Mad Black Woman,Lions,"$50,633,099 ","1,703","$21,905,089 ","1,483",25-Feb,19-May
58,Racing Stripes,WB,"$49,772,522 ","3,185","$13,920,052 ","3,185",14-Jan,12-May
59,Miss Congeniality 2: Armed and Fabulous,WB,"$48,478,006 ","3,233","$14,043,215 ","3,233",24-Mar,7-Jul
60,Just Like Heaven,DW,"$48,318,130 ","3,543","$16,408,718 ","3,508",16-Sep,1-Dec
61,The Skeleton Key,Uni.,"$47,907,715 ","2,784","$16,057,945 ","2,771",12-Aug,27-Oct
62,Kingdom of Heaven,Fox,"$47,398,413 ","3,219","$19,635,996 ","3,216",6-May,1-Sep
63,Boogeyman,SGem,"$46,752,382 ","3,052","$19,020,655 ","3,052",4-Feb,31-Mar
64,The Legend of Zorro,Sony,"$46,464,023 ","3,520","$16,328,506 ","3,520",28-Oct,2-Jan
65,In Good Company,Uni.,"$45,806,659 ","1,963","$151,750 ",3,14-Jan,31-Mar
66,Must Love Dogs,WB,"$43,894,863 ","2,505","$12,855,321 ","2,505",29-Jul,30-Oct
67,Transporter 2,Fox,"$43,095,856 ","3,320","$16,540,720 ","3,303",2-Sep,29-Dec
68,Rumor Has It,WB,"$43,000,262 ","2,815","$3,473,155 ","2,815",25-Dec,9-Mar
69,Fever Pitch,Fox,"$42,071,069 ","3,275","$12,400,125 ","3,267",8-Apr,7-Aug
70,The Adventures of Sharkboy and Lavagirl in 3D,Dim.,"$39,177,684 ","2,655","$12,582,088 ","2,655",10-Jun,20-Oct
71,The Sisterhood of the Traveling Pants,WB,"$39,053,061 ","2,583","$9,833,340 ","2,583",1-Jun,15-Sep
72,Pride and Prejudice,Focus,"$38,405,088 ","1,335","$2,865,017 ",215,23-Nov,2-Mar
73,The Brothers Grimm,Dim.,"$37,916,267 ","3,098","$15,092,079 ","3,087",26-Aug,20-Oct
74,Beauty Shop,MGM,"$36,351,350 ","2,659","$12,801,465 ","2,659",30-Mar,19-May
75,Derailed,Wein.,"$36,024,076 ","2,447","$12,211,986 ","2,443",11-Nov,16-Feb
76,The Island,DW,"$35,818,913 ","3,138","$12,409,070 ","3,122",22-Jul,8-Sep
77,The Ringer,FoxS,"$35,428,675 ","1,853","$5,158,795 ","1,829",23-Dec,30-Mar
78,Hostage,Mira.,"$34,639,939 ","2,183","$10,214,734 ","2,123",11-Mar,23-Jun
79,The Constant Gardener,Focus,"$33,579,797 ","1,387","$8,673,803 ","1,346",31-Aug,1-Dec
80,In Her Shoes,Fox,"$32,880,591 ","2,840","$10,017,575 ","2,808",7-Oct,29-Jan
81,Bad News Bears,Par.,"$32,868,349 ","3,183","$11,382,472 ","3,183",22-Jul,29-Sep
82,Dreamer: Inspired by a True Story,DW,"$32,751,093 ","2,735","$9,178,233 ","2,007",21-Oct,5-Jan
83,Because of Winn-Dixie,Fox,"$32,647,042 ","3,188","$10,208,431 ","3,188",18-Feb,23-Jun
84,Just Friends,NL,"$32,619,671 ","2,505","$9,191,331 ","2,505",23-Nov,9-Feb
85,Stealth,Sony,"$32,116,746 ","3,495","$13,251,545 ","3,495",29-Jul,5-Sep
86,House of Wax,WB,"$32,064,800 ","3,111","$12,077,236 ","3,111",6-May,28-Jul
87,The Wedding Date,Uni.,"$31,726,995 ","1,704","$11,129,580 ","1,694",4-Feb,31-Mar
88,"Good Night, and Good Luck.",WIP,"$31,558,003 ",929,"$421,446 ",11,4-Nov,16-Mar
89,A History of Violence,NL,"$31,504,633 ","1,348","$515,992 ",14,30-Sep,9-Feb
90,Get Rich or Die Tryin',Par.,"$30,985,352 ","1,666","$12,020,807 ","1,652",9-Nov,2-Feb
91,The Fog (2005),SonR,"$29,550,869 ","2,972","$11,752,917 ","2,972",14-Oct,20-Nov
92,Zathura,Sony,"$29,258,869 ","3,232","$13,427,872 ","3,223",11-Nov,11-Dec
93,Rent,SonR,"$29,077,547 ","2,437","$10,016,021 ","2,433",23-Nov,2-Jan
94,Doom,Uni.,"$28,212,337 ","3,044","$15,488,870 ","3,044",21-Oct,1-Dec
95,XXX: State of the Union,SonR,"$26,873,932 ","3,480","$12,712,272 ","3,480",29-Apr,30-May
96,Elizabethtown,Par.,"$26,850,426 ","2,517","$10,618,711 ","2,517",14-Oct,20-Dec
97,Aeon Flux,Par.,"$25,874,337 ","2,608","$12,661,112 ","2,608",2-Dec,9-Feb
98,Serenity,Uni.,"$25,514,517 ","2,189","$10,086,680 ","2,188",30-Sep,17-Nov
99,Dark Water,BV,"$25,473,352 ","2,657","$9,939,251 ","2,657",8-Jul,13-Oct
