1,Harry Potter and the Deathly Hallows Part 2,WB,"$381,011,219 ","4,375","$169,189,427 ","4,375",15-Jul,24-Nov
2,Transformers: Dark of the Moon,P/DW,"$352,390,543 ","4,088","$97,852,865 ","4,088",29-Jun,13-Oct
3,The Twilight Saga: Breaking Dawn Part 1,Sum.,"$281,287,133 ","4,066","$138,122,261 ","4,061",18-Nov,23-Feb
4,The Hangover Part II,WB,"$254,464,305 ","3,675","$85,946,294 ","3,615",26-May,15-Sep
5,Pirates of the Caribbean: On Stranger Tides,BV,"$241,071,802 ","4,164","$90,151,958 ","4,155",20-May,29-Sep
6,Fast Five,Uni.,"$209,837,675 ","3,793","$86,198,765 ","3,644",29-Apr,11-Aug
7,Mission: Impossible - Ghost Protocol,Par.,"$209,397,903 ","3,555","$12,785,204 ",425,21-Dec,12-Apr
8,Cars 2,BV,"$191,452,396 ","4,115","$66,135,507 ","4,115",24-Jun,15-Dec
9,Sherlock Holmes: A Game of Shadows,WB,"$186,848,418 ","3,703","$39,637,079 ","3,703",16-Dec,5-Apr
10,Thor,Par.,"$181,030,624 ","3,963","$65,723,338 ","3,955",6-May,25-Aug
11,Rise of the Planet of the Apes,Fox,"$176,760,185 ","3,691","$54,806,191 ","3,648",5-Aug,15-Dec
12,Captain America: The First Avenger,Par.,"$176,654,505 ","3,715","$65,058,524 ","3,715",22-Jul,10-Nov
13,The Help,BV,"$169,708,112 ","3,014","$26,044,590 ","2,534",10-Aug,8-Mar
14,Bridesmaids,Uni.,"$169,106,725 ","2,958","$26,247,410 ","2,918",13-May,29-Sep
15,Kung Fu Panda 2,P/DW,"$165,249,063 ","3,952","$47,656,302 ","3,925",26-May,29-Sep
16,Puss in Boots,P/DW,"$149,260,504 ","3,963","$34,077,439 ","3,952",28-Oct,1-Mar
17,X-Men: First Class,Fox,"$146,408,305 ","3,692","$55,101,604 ","3,641",3-Jun,29-Sep
18,Rio,Fox,"$143,619,809 ","3,842","$39,225,962 ","3,826",15-Apr,8-Sep
19,The Smurfs,Sony,"$142,614,158 ","3,427","$35,611,637 ","3,395",29-Jul,15-Dec
20,Alvin and the Chipmunks: Chipwrecked,Fox,"$133,110,742 ","3,734","$23,244,744 ","3,723",16-Dec,7-Jun
21,Super 8,Par.,"$127,004,179 ","3,424","$35,451,168 ","3,379",10-Jun,29-Sep
22,Rango,Par.,"$123,477,607 ","3,923","$38,079,323 ","3,917",4-Mar,7-Jul
23,Horrible Bosses,WB (NL),"$117,538,559 ","3,134","$28,302,165 ","3,040",8-Jul,27-Oct
