1,Back to the Future,Uni.,"$210,609,762 ","1,550","$11,152,500 ","1,420",3-Jul
2,Rambo: First Blood Part II,TriS,"$150,415,432 ","2,074","$20,176,217 ","2,074",22-May
3,Rocky IV,UA,"$127,873,716 ","2,254","$19,991,537 ","1,325",27-Nov
4,Out of Africa,Uni.,"$87,071,205 ","1,102","$3,637,290 ",922,20-Dec
5,Cocoon,Fox,"$76,113,124 ","1,163","$7,936,427 ","1,140",21-Jun
6,The Jewel of the Nile,Fox,"$75,973,200 ","1,490","$6,645,455 ","1,106",13-Dec
7,Witness,Par.,"$68,706,993 ","1,169","$4,539,990 ",876,8-Feb
8,The Goonies,WB,"$61,389,680 ","1,705","$9,105,913 ","1,705",7-Jun
9,Spies Like Us,WB,"$60,088,980 ","1,700","$8,614,039 ","1,556",6-Dec
10,Police Academy 2: Their First Assignment,WB,"$55,600,000 ","1,613","$10,675,896 ","1,613",29-Mar
11,Amadeus,Orion,"$51,564,280 ",802,"$505,276 ",25,5-Apr
12,Fletch,Uni.,"$50,612,888 ","1,303","$7,022,970 ","1,225",31-May
13,A View to a Kill,MGM,"$50,327,960 ","1,588","$10,687,114 ","1,583",24-May
14,European Vacation,WB,"$49,364,621 ","1,547","$12,329,627 ","1,546",26-Jul
15,Mask,Uni.,"$48,230,162 ","1,024","$135,499 ",4,22-Mar
16,The Breakfast Club,Uni.,"$45,875,171 ","1,118","$5,107,599 ","1,071",15-Feb
17,White Nights,Col.,"$42,160,849 ","1,064","$477,539 ",21,6-Dec
18,Pale Rider,WB,"$41,410,568 ","1,710","$9,119,111 ","1,710",28-Jun
19,Pee-Wee's Big Adventure,WB,"$40,940,662 ",894,"$4,545,847 ",829,9-Aug
20,Brewster's Millions,Uni.,"$40,833,132 ","1,521","$9,858,905 ","1,521",22-May
21,E.T.: The Extra-Terrestrial (Re-issue),Uni.,"$40,607,502 ","1,701","$8,807,023 ","1,684",19-Jul
22,Jagged Edge,Col.,"$40,491,165 ","1,139","$4,094,091 ","1,125",4-Oct
23,St. Elmo's Fire,Col.,"$37,803,872 ","1,207","$6,128,157 ","1,204",28-Jun
24,Mad Max Beyond Thunderdome,WB,"$36,230,219 ","1,475","$7,283,714 ","1,474",12-Jul
25,Commando,Fox,"$35,100,000 ","1,504","$7,700,015 ","1,495",4-Oct
26,The Killing Fields,WB,"$34,700,291 ",663,"$32,181 ",1,1-Feb
27,Teen Wolf,Atl,"$33,086,611 ","1,425","$6,120,348 ","1,416",23-Aug
28,101 Dalmatians (Re-issue) (1985),BV,"$33,049,729 ","1,185","$2,389,226 ","1,097",20-Dec
29,Silverado,Col.,"$32,192,570 ","1,190","$3,522,897 ","1,168",12-Jul
30,Desperately Seeking Susan,Orion,"$27,398,584 ","1,108","$1,526,098 ",268,12-Apr
31,A Passage to India,Col.,"$27,187,653 ",650,"$84,580 ",3,1-Feb
32,Prizzi's Honor,Fox,"$26,657,534 ",722,"$4,234,537 ",719,14-Jun
33,Pinocchio (Re-issue) (1984),BV,"$26,414,038 ","1,309","$3,769,251 ","1,217",4-Jan
34,The Last Dragon,TriS,"$25,754,284 ","1,039","$5,254,359 ","1,038",22-Mar
35,Agnes of God,Col.,"$25,627,836 ",646,"$221,552 ",8,27-Sep
36,Fright Night,Col.,"$24,922,237 ","1,545","$6,118,543 ","1,542",2-Aug
37,Summer Rental,Par.,"$24,689,703 ","1,595","$5,754,259 ","1,584",9-Aug
