1,Forrest Gump,Par.,"$329,694,499 ","2,365","$24,450,602 ","1,595",6-Jul
2,The Lion King,BV,"$312,855,561 ","2,624","$1,586,753 ",2,24-Jun
3,True Lies,Fox,"$146,282,411 ","2,561","$25,869,770 ","2,368",15-Jul
4,The Santa Clause,BV,"$144,833,357 ","2,388","$19,321,992 ","2,183",11-Nov
5,The Flintstones,Uni.,"$130,531,208 ","2,594","$29,688,730 ","2,498",27-May
6,Dumb and Dumber,NL,"$127,175,374 ","2,565","$16,363,442 ","2,447",16-Dec
7,Clear and Present Danger,Par.,"$122,187,717 ","2,433","$20,348,017 ","2,378",5-Aug
8,Speed,Fox,"$121,248,145 ","2,169","$14,456,194 ","2,138",10-Jun
9,The Mask,NL,"$119,938,730 ","2,516","$23,117,068 ","2,360",29-Jul
10,Pulp Fiction,Mira.,"$107,928,762 ","1,494","$9,311,882 ","1,338",14-Oct
11,Interview with the Vampire,WB,"$105,264,608 ","2,604","$36,389,705 ","2,604",11-Nov
12,Maverick,WB,"$101,631,272 ","2,537","$17,248,545 ","2,537",20-May
13,Schindler's List,Uni.,"$96,065,768 ","1,389","$656,636 ",25,4-Feb
14,The Client,WB,"$92,115,211 ","2,365","$17,174,262 ","2,052",22-Jul
15,Disclosure,WB,"$83,015,089 ","2,168","$10,068,126 ","1,675",9-Dec
16,Philadelphia,TriS,"$77,446,440 ","1,604","$143,433 ",4,14-Jan
17,Star Trek: Generations,Par.,"$75,671,125 ","2,681","$23,116,394 ","2,659",18-Nov
18,Ace Ventura: Pet Detective,WB,"$72,217,396 ","1,963","$12,115,105 ","1,750",4-Feb
19,Stargate,MGM,"$71,567,262 ","2,033","$16,651,018 ","2,033",28-Oct
20,Wolf,Col.,"$65,002,597 ","2,117","$17,911,366 ","2,117",17-Jun
21,The Specialist,WB,"$57,362,582 ","2,522","$14,317,765 ","2,522",7-Oct
22,Four Weddings and a Funeral,Gram.,"$52,700,832 ","1,069","$138,486 ",5,15-Apr
23,The Little Rascals,Uni.,"$52,125,282 ","1,927","$10,028,065 ","1,726",5-Aug
24,The Naked Gun 33 1/3: The Final Insult,Par.,"$51,132,598 ","2,383","$13,216,531 ","2,361",18-Mar
25,The Crow,Mira.,"$50,693,129 ","2,119","$11,774,332 ","1,573",13-May
26,Natural Born Killers,WB,"$50,282,766 ","1,904","$11,166,687 ","1,510",26-Aug
27,Angels in the Outfield (1994),BV,"$50,236,831 ","1,921","$8,916,463 ","1,894",15-Jul
28,Little Women (1994),Sony,"$50,083,616 ","1,579","$2,411,247 ","1,503",25-Dec
29,When a Man Loves a Woman,BV,"$50,021,959 ","1,511","$651,700 ",19,13-May
30,The River Wild,Uni.,"$46,816,343 ","2,153","$10,214,450 ","2,074",30-Sep
31,D2: The Mighty Ducks,BV,"$45,610,410 ","2,223","$10,356,748 ","2,182",25-Mar
32,Timecop,Uni.,"$44,853,581 ","2,274","$12,064,625 ","2,228",16-Sep
33,City Slickers II: The Legend of Curly's Gold,Col.,"$43,622,150 ","2,243","$11,516,375 ","2,243",10-Jun
34,The Jungle Book (1994),BV,"$43,229,904 ","2,012","$5,129,959 ","1,880",25-Dec
35,Beverly Hills Cop III,Par.,"$42,614,912 ","2,748","$12,426,169 ","2,748",25-May
36,The Piano,Mira.,"$40,157,856 ",671,"$151,419 ",4,11-Feb
37,The Paper,Uni.,"$38,824,341 ","1,577","$175,507 ",5,25-Mar
38,On Deadly Ground,WB,"$38,590,458 ","2,010","$12,679,573 ","2,010",18-Feb
39,Richie Rich,WB,"$38,087,756 ","1,761","$5,830,302 ","1,748",21-Dec
40,It Could Happen to You,TriS,"$37,939,757 ","1,544","$8,112,822 ","1,506",29-Jul
41,Junior,Uni.,"$36,763,355 ","1,896","$9,803,145 ","1,749",23-Nov
42,Nell,Fox,"$33,683,817 ","1,236","$62,663 ",2,23-Dec
43,Street Fighter,Uni.,"$33,423,521 ","1,738","$6,859,495 ","1,671",23-Dec
44,The Shadow,Uni.,"$32,063,435 ","1,769","$11,713,845 ","1,677",1-Jul
45,I Love Trouble,BV,"$30,806,194 ","1,746","$7,827,002 ","1,711",1-Jul
46,Major League II,WB,"$30,626,182 ","2,167","$7,040,777 ","2,167",1-Apr
47,Blank Check,BV,"$30,577,969 ","1,732","$5,411,897 ","1,698",11-Feb
48,Blown Away,MGM,"$30,156,002 ","1,862","$10,424,873 ","1,862",1-Jul
49,A Low Down Dirty Shame,BV,"$29,392,418 ","1,379","$7,970,574 ","1,379",25-Nov
50,In the Army Now,BV,"$28,881,266 ","1,452","$6,367,194 ","1,444",12-Aug
51,Drop Zone,Par.,"$28,735,315 ","2,055","$6,143,566 ","2,020",9-Dec
52,The Shawshank Redemption,Col.,"$28,341,469 ",972,"$727,327 ",33,14-Oct
53,Guarding Tess,TriS,"$27,058,304 ","1,614","$7,065,213 ","1,601",11-Mar
54,I.Q.,Par.,"$26,381,221 ","1,412","$3,131,201 ","1,409",25-Dec
55,Shadowlands,Sav.,"$25,842,377 ","1,023","$81,082 ",3,14-Jan
56,"My Father, the Hero",BV,"$25,479,558 ","1,373","$5,645,251 ","1,193",4-Feb
57,In the Name of the Father,Uni.,"$25,096,862 ",688,"$109,805 ",4,25-Feb
58,Wyatt Earp,WB,"$25,052,000 ","1,859","$7,543,504 ","1,859",24-Jun
59,Quiz Show,BV,"$24,822,619 ",822,"$757,714 ",27,7-Oct
60,Renaissance Man,BV,"$24,332,324 ","1,788","$5,557,590 ","1,764",3-Jun
61,Blue Chips,Par.,"$23,070,663 ","1,980","$10,123,605 ","1,980",18-Feb
62,Mary Shelley's Frankenstein,Sony,"$22,006,296 ","2,177","$11,212,889 ","2,177",4-Nov
63,Intersection,Par.,"$21,355,893 ","1,300","$7,818,502 ","1,300",21-Jan
64,The Air Up There,Mira.,"$21,011,318 ","1,721","$5,240,859 ","1,507",7-Jan
65,Iron Will,BV,"$21,006,361 ","2,036","$5,313,406 ","1,901",14-Jan
66,Reality Bites,Uni.,"$20,982,557 ","1,175","$5,113,050 ","1,149",18-Feb
67,Jason's Lyric,Gram.,"$20,851,521 ",804,"$5,122,600 ",804,30-Sep
68,Speechless,MGM,"$20,667,959 ","1,404","$3,969,048 ","1,404",16-Dec
69,The Cowboy Way,Uni.,"$20,280,016 ","1,833","$5,048,640 ","1,753",3-Jun
70,"Corrina, Corrina",NL,"$20,164,171 ",972,"$3,811,258 ",698,26-Aug
71,Only You,TriS,"$20,059,210 ","1,617","$5,711,738 ","1,600",7-Oct
72,With Honors,WB,"$20,016,254 ","1,222","$4,328,543 ","1,102",29-Apr
73,Color of Night,BV,"$19,726,050 ","1,740","$6,610,488 ","1,740",19-Aug
74,8 Seconds,NL,"$19,623,396 ",838,"$3,369,037 ",836,25-Feb
75,The Professional,Sony,"$19,501,238 ","1,220","$5,306,558 ","1,158",18-Nov
76,Little Giants,WB,"$19,306,362 ","2,022","$4,778,029 ","2,022",14-Oct
77,House Party 3,NL,"$19,281,235 ",855,"$6,850,010 ",848,14-Jan
78,Getting Even With Dad,MGM,"$18,869,594 ","1,955","$5,579,480 ","1,955",17-Jun
79,Love Affair,WB,"$18,272,894 ","1,585","$5,438,758 ","1,585",21-Oct
80,Sugar Hill,Fox,"$18,225,518 ",859,"$5,712,485 ",845,25-Feb
81,Milk Money,Par.,"$18,137,661 ","1,361","$5,846,533 ","1,361",2-Sep
82,Wes Craven's New Nightmare,NL,"$18,090,181 ","1,873","$6,667,118 ","1,850",14-Oct
83,My Girl 2,Col.,"$17,359,799 ","1,853","$5,012,295 ","1,841",11-Feb
84,Miracle on 34th Street (1994),Fox,"$17,320,136 ","1,255","$2,753,208 ","1,190",18-Nov
85,The War,Uni.,"$16,928,556 ","1,537","$5,203,275 ","1,155",4-Nov
86,Baby's Day Out,Fox,"$16,827,402 ","1,707","$4,044,662 ","1,705",1-Jul
87,Lightning Jack,Sav.,"$16,821,273 ","1,733","$5,401,743 ","1,710",11-Mar
88,Andre,Par.,"$16,820,893 ","1,469","$4,020,760 ","1,469",19-Aug
89,Blink,NL,"$16,696,219 ","1,540","$4,410,077 ","1,527",28-Jan
90,Terminal Velocity,BV,"$16,487,349 ","1,797","$5,500,404 ","1,794",23-Sep
91,Monkey Trouble,NL,"$16,453,258 ","1,413","$4,523,597 ","1,412",18-Mar
92,Above the Rim,NL,"$16,192,320 ",891,"$3,738,800 ",836,25-Mar
93,The Getaway (1994),Uni.,"$16,094,974 ","1,659","$5,806,515 ","1,659",11-Feb
94,No Escape,Sav.,"$15,339,030 ","1,765","$4,588,736 ","1,763",29-Apr
95,Bad Girls,Fox,"$15,240,435 ","2,012","$5,012,200 ","2,008",22-Apr
96,Threesome,TriS,"$14,815,317 ","1,218","$4,001,024 ","1,212",8-Apr
97,The Pagemaster,Fox,"$13,670,688 ","1,803","$4,188,399 ","1,803",23-Nov
98,Crooklyn,Uni.,"$13,642,861 ","1,035","$4,209,475 ","1,033",13-May
99,Greedy,Uni.,"$13,137,484 ","1,732","$4,805,115 ","1,710",4-Mar
100,Little Big League,Col.,"$12,267,790 ","1,606","$3,105,618 ","1,527",1-Jul
101,3 Ninjas Kick Back,TriS,"$11,798,854 ","2,043","$3,556,310 ","2,038",6-May
102,The Ref,BV,"$11,439,193 ",861,"$3,044,097 ",701,9-Mar
103,Cops and Robbersons,TriS,"$11,391,093 ","1,836","$3,724,254 ","1,831",15-Apr
104,Thumbelina,WB,"$11,373,501 ","1,502","$2,318,822 ","1,502",1-Apr
105,Ready to Wear,Mira.,"$11,300,653 ",736,"$2,026,295 ",736,25-Dec
106,Camp Nowhere,BV,"$10,475,705 ","1,367","$2,755,661 ","1,358",26-Aug
107,I'll Do Anything,Col.,"$10,424,645 ","1,205","$4,702,625 ","1,205",4-Feb
108,What's Eating Gilbert Grape,Par.,"$10,032,765 ",611,"$74,421 ",6,4-Mar
109,Lassie,Par.,"$9,979,683 ","1,785","$3,201,843 ","1,785",22-Jul
110,The Swan Princess,NL,"$9,771,658 ","1,406","$2,445,155 ","1,404",18-Nov
111,Angie,BV,"$9,398,308 ","1,169","$2,779,640 ",808,4-Mar
112,The Next Karate Kid,Col.,"$8,914,777 ","1,489","$2,620,484 ","1,489",9-Sep
113,White Fang II: Myth of the White Wolf,BV,"$8,878,839 ","1,877","$2,692,624 ","1,853",15-Apr
114,The Puppet Masters,BV,"$8,647,042 ","1,482","$4,069,057 ","1,481",21-Oct
115,Blankman,Col.,"$7,941,977 ","1,615","$3,715,480 ","1,615",19-Aug
116,The Chase,Fox,"$7,924,955 ","1,633","$3,421,028 ","1,633",4-Mar
117,Surviving the Game,NL,"$7,727,256 ","1,034","$2,907,468 ","1,025",15-Apr
118,Clifford,Orion,"$7,408,745 ","1,023","$2,571,043 ","1,014",1-Apr
119,Clean Slate,MGM,"$7,355,425 ","1,474","$3,136,130 ","1,457",6-May
120,North,Col.,"$7,182,747 ","1,481","$3,036,050 ","1,481",22-Jul
121,Trial by Jury,WB,"$6,971,777 ","1,401","$2,855,852 ","1,401",9-Sep
122,Exit to Eden,Sav.,"$6,841,570 ","1,670","$3,012,695 ","1,670",14-Oct
123,Mixed Nuts,Sony,"$6,821,850 ","1,318","$2,307,850 ","1,318",21-Dec
124,The Road to Wellville,Sony,"$6,562,513 ",806,"$2,580,108 ",806,28-Oct
125,Trapped in Paradise,Fox,"$6,017,509 ","1,286","$2,744,653 ","1,286",2-Dec
126,Ed Wood,BV,"$5,887,457 ",623,"$71,566 ",2,7-Oct
127,Heaven and Earth,WB,"$5,864,949 ",781,"$379,807 ",63,7-Jan
128,Airheads,Fox,"$5,751,882 ","1,229","$1,911,739 ","1,228",5-Aug
129,Black Beauty,WB,"$4,630,377 ","1,312","$1,285,820 ","1,312",29-Jul
130,Wagons East!,TriS,"$4,412,297 ","1,771","$1,802,878 ","1,771",26-Aug
131,Brainscan,Triu,"$4,352,094 ","1,221","$1,725,000 ","1,221",22-Apr
132,PCU,Fox,"$4,330,020 ","1,741","$2,129,483 ","1,741",29-Apr
133,Jimmy Hollywood,Par.,"$3,783,003 ",944,"$1,451,000 ",944,1-Apr
134,Gunmen,Dim.,"$3,411,885 ",802,"$1,909,919 ",802,4-Feb
135,Squanto: A Warrior's Tale,BV,"$3,342,223 ","1,022","$1,119,016 ","1,022",28-Oct
136,Silent Fall,WB,"$3,180,674 ","1,253","$1,531,244 ","1,251",28-Oct
137,The Favor,Orion,"$3,134,381 ","1,029","$1,487,238 ","1,029",29-Apr
138,The Scout,Fox,"$2,694,234 ","1,585","$1,458,837 ","1,585",30-Sep
139,Double Dragon,Gram.,"$2,341,309 ","1,087","$1,376,561 ","1,087",4-Nov
140,A Good Man in Africa,Gram.,"$2,308,390 ",794,"$1,144,942 ",794,9-Sep
141,The Princess and the Goblin,Hemd,"$2,105,078 ",795,"$451,560 ",795,3-Jun
142,Chasers,WB,"$1,596,687 ",782,"$733,859 ",782,22-Apr
143,Radioland Murders,Uni.,"$1,316,865 ",844,"$835,570 ",844,21-Oct
144,"Car 54, Where Are You?",Orion,"$1,238,080 ",608,"$791,182 ",608,28-Jan
