1,Independence Day,Fox,"$306,169,268 ","2,977","$50,228,264 ","2,882",3-Jul
2,Twister,WB,"$241,721,524 ","2,808","$41,059,405 ","2,414",10-May
3,Mission: Impossible,Par.,"$180,981,856 ","3,012","$45,436,830 ","3,012",22-May
4,Jerry Maguire,Sony,"$153,952,592 ","2,531","$17,084,296 ","2,531",13-Dec
5,Ransom,BV,"$136,492,681 ","2,768","$34,216,088 ","2,676",8-Nov
6,101 Dalmatians (1996),BV,"$136,189,294 ","2,901","$33,504,025 ","2,794",27-Nov
7,The Rock,BV,"$134,069,511 ","2,426","$25,069,525 ","2,392",7-Jun
8,The Nutty Professor (1996),Uni.,"$128,814,019 ","2,239","$25,411,725 ","2,115",28-Jun
9,The Birdcage,MGM,"$124,060,553 ","2,285","$18,275,828 ","1,950",8-Mar
10,A Time to Kill,WB,"$108,766,007 ","2,313","$14,823,159 ","2,123",26-Jul
11,The First Wives Club,Par.,"$105,489,203 ","2,406","$18,913,411 ","1,922",20-Sep
12,Phenomenon,BV,"$104,636,382 ","2,139","$16,158,901 ","1,637",5-Jul
13,Scream,Dim.,"$103,046,663 ","1,994","$6,354,586 ","1,413",20-Dec
14,Eraser,WB,"$101,295,562 ","2,556","$24,566,446 ","2,410",21-Jun
15,The Hunchback of Notre Dame,BV,"$100,138,851 ","2,835","$21,037,414 ","2,778",21-Jun
16,Michael,NL,"$95,318,203 ","2,325","$17,435,711 ","2,141",25-Dec
17,Star Trek: First Contact,Par.,"$92,027,888 ","2,812","$30,716,131 ","2,812",22-Nov
18,Space Jam,WB,"$90,418,342 ","2,650","$27,528,529 ","2,650",15-Nov
19,Mr. Holland's Opus,BV,"$82,569,971 ","1,659","$14,466 ",1,19-Jan
20,The English Patient,Mira.,"$78,676,425 ","1,409","$278,439 ",10,6-Dec
21,Broken Arrow (1996),Fox,"$70,770,147 ","2,392","$15,583,510 ","2,388",9-Feb
22,Beavis and Butt-Head Do America,Par.,"$63,118,386 ","2,417","$20,114,233 ","2,190",20-Dec
23,Jingle All the Way,Fox,"$60,592,389 ","2,404","$12,112,267 ","2,401",22-Nov
24,The Cable Guy,Sony,"$60,240,295 ","2,657","$19,806,226 ","2,657",14-Jun
25,Courage Under Fire,Fox,"$59,031,057 ","2,001","$12,501,586 ","1,986",12-Jul
26,Jack,BV,"$58,620,973 ","2,232","$11,191,496 ","1,710",9-Aug
27,12 Monkeys,Uni.,"$57,141,459 ","1,629","$184,776 ",3,5-Jan
28,Executive Decision,WB,"$56,569,216 ","2,289","$12,069,780 ","2,232",15-Mar
29,Primal Fear,Par.,"$56,116,183 ","1,983","$9,871,222 ","1,983",5-Apr
30,Tin Cup,WB,"$53,854,588 ","2,102","$10,128,834 ","2,012",16-Aug
31,Sleepers,WB,"$53,315,285 ","2,080","$12,305,745 ","1,915",18-Oct
32,Dragonheart,Uni.,"$51,367,375 ","2,193","$15,027,150 ","2,130",31-May
33,Up Close and Personal,BV,"$51,088,705 ","1,639","$11,101,955 ","1,506",1-Mar
34,The Preacher's Wife,BV,"$48,102,795 ","2,008","$7,649,752 ","1,783",13-Dec
35,Romeo + Juliet,Fox,"$46,351,345 ","1,963","$11,133,231 ","1,276",1-Nov
36,One Fine Day,Fox,"$46,151,454 ","1,975","$6,226,430 ","1,946",20-Dec
37,Sense and Sensibility,Sony,"$43,182,776 ","1,054","$721,341 ",70,26-Jan
38,The Mirror Has Two Faces,Sony,"$41,083,864 ","2,489","$12,210,868 ","2,489",15-Nov
39,Dead Man Walking,Gram.,"$39,363,635 ",821,"$118,266 ",4,2-Feb
40,Happy Gilmore,Uni.,"$38,824,099 ","2,069","$8,514,125 ","2,022",16-Feb
