1,The Dark Knight,WB,"$533,345,358 ","4,366","$158,411,483 ","4,366",18-Jul,5-Mar
2,Iron Man,Par.,"$318,412,101 ","4,154","$98,618,668 ","4,105",2-May,2-Oct
3,Indiana Jones and the Kingdom of the Crystal Skull,Par.,"$317,101,119 ","4,264","$100,137,835 ","4,260",22-May,16-Oct
4,Hancock,Sony,"$227,946,274 ","3,965","$62,603,879 ","3,965",2-Jul,7-Sep
5,WALL-E,BV,"$223,808,164 ","3,992","$63,087,526 ","3,992",27-Jun,8-Jan
6,Kung Fu Panda,P/DW,"$215,434,591 ","4,136","$60,239,130 ","4,114",6-Jun,9-Oct
7,Twilight,Sum.,"$192,769,854 ","3,649","$69,637,740 ","3,419",21-Nov,2-Apr
8,Madagascar: Escape 2 Africa,P/DW,"$180,010,950 ","4,065","$63,106,589 ","4,056",7-Nov,26-Feb
9,Quantum of Solace,Sony,"$168,368,427 ","3,501","$67,528,882 ","3,451",14-Nov,25-Jan
10,Dr. Seuss' Horton Hears a Who!,Fox,"$154,529,439 ","3,961","$45,012,998 ","3,954",14-Mar,4-Sep
11,Sex and the City,WB (NL),"$152,647,258 ","3,325","$57,038,404 ","3,285",30-May,18-Sep
12,Mamma Mia!,Uni.,"$144,130,063 ","3,194","$27,751,240 ","2,976",18-Jul,6-Nov
13,Marley and Me,Fox,"$143,153,751 ","3,505","$36,357,586 ","3,480",25-Dec,30-Apr
14,The Chronicles of Narnia: Prince Caspian,BV,"$141,621,490 ","3,929","$55,034,805 ","3,929",16-May,4-Sep
15,Slumdog Millionaire,FoxS,"$141,319,928 ","2,943","$360,018 ",10,26-Dec,28-May
16,The Incredible Hulk,Uni.,"$134,806,913 ","3,508","$55,414,050 ","3,505",13-Jun,4-Sep
17,Wanted,Uni.,"$134,508,551 ","3,185","$50,927,085 ","3,175",27-Jun,18-Sep
18,Get Smart,WB,"$130,319,208 ","3,915","$38,683,480 ","3,911",20-Jun,6-Nov
19,The Curious Case of Benjamin Button,Par.,"$127,509,326 ","2,988","$26,853,816 ","2,988",25-Dec,23-Apr
20,Four Christmases,WB (NL),"$120,146,040 ","3,540","$31,069,826 ","3,310",26-Nov,12-Feb
21,Bolt,BV,"$114,053,579 ","3,654","$26,223,128 ","3,651",21-Nov,22-Feb
22,Tropic Thunder,P/DW,"$110,515,313 ","3,473","$25,812,796 ","3,319",13-Aug,13-Nov
23,Bedtime Stories,BV,"$110,101,975 ","3,684","$27,450,296 ","3,681",25-Dec,12-Mar
24,The Mummy: Tomb of the Dragon Emperor,Uni.,"$102,491,776 ","3,778","$40,457,770 ","3,760",1-Aug,25-Sep
25,Journey to the Center of the Earth,WB (NL),"$101,704,370 ","2,830","$21,018,141 ","2,811",11-Jul,11-Dec
26,Eagle Eye,P/DW,"$101,440,743 ","3,614","$29,150,721 ","3,510",26-Sep,8-Jan
27,Step Brothers,Sony,"$100,468,793 ","3,182","$30,940,732 ","3,094",25-Jul,21-Sep
28,You Don't Mess with the Zohan,Sony,"$100,018,837 ","3,466","$38,531,374 ","3,462",6-Jun,7-Sep
29,Yes Man,WB,"$97,690,976 ","3,434","$18,262,471 ","3,434",19-Dec,2-Apr
30,"10,000 B.C.",WB,"$94,784,201 ","3,454","$35,867,488 ","3,410",7-Mar,19-Jun
31,Beverly Hills Chihuahua,BV,"$94,514,402 ","3,239","$29,300,465 ","3,215",3-Oct,5-Feb
32,The Bucket List,WB,"$93,466,502 ","2,915","$335,837 ",16,11-Jan,5-Jun
33,High School Musical 3: Senior Year,BV,"$90,559,416 ","3,626","$42,030,184 ","3,623",24-Oct,5-Feb
34,Pineapple Express,Sony,"$87,341,380 ","3,072","$23,245,025 ","3,072",6-Aug,-
35,Valkyrie,UA,"$83,077,833 ","2,838","$21,027,007 ","2,711",25-Dec,16-Apr
