1,Toy Story 3,BV,"$415,004,880 ","4,028","$110,307,189 ","4,028",18-Jun,2-Dec
2,Alice in Wonderland (2010),BV,"$334,191,110 ","3,739","$116,101,023 ","3,728",5-Mar,8-Jul
3,Iron Man 2,Par.,"$312,433,331 ","4,390","$128,122,480 ","4,380",7-May,19-Aug
4,The Twilight Saga: Eclipse,Sum.,"$300,531,751 ","4,468","$64,832,191 ","4,468",30-Jun,21-Oct
5,Harry Potter and the Deathly Hallows Part 1,WB,"$295,983,305 ","4,125","$125,017,372 ","4,125",19-Nov,7-Apr
6,Inception,WB,"$292,576,195 ","3,792","$62,785,337 ","3,792",16-Jul,6-Jan
7,Despicable Me,Uni.,"$251,513,985 ","3,602","$56,397,125 ","3,476",9-Jul,20-Jan
8,Shrek Forever After,P/DW,"$238,736,787 ","4,386","$70,838,207 ","4,359",21-May,9-Sep
9,How to Train Your Dragon,P/DW,"$217,581,231 ","4,060","$43,732,319 ","4,055",26-Mar,22-Jul
10,Tangled,BV,"$200,821,936 ","3,603","$48,767,052 ","3,603",24-Nov,2-Jun
11,The Karate Kid,Sony,"$176,591,618 ","3,740","$55,665,805 ","3,663",11-Jun,23-Sep
12,Tron Legacy,BV,"$172,062,763 ","3,451","$44,026,211 ","3,451",17-Dec,14-Apr
13,True Grit,Par.,"$171,243,005 ","3,464","$24,830,443 ","3,047",22-Dec,28-Apr
14,Clash of the Titans (2010),WB,"$163,214,888 ","3,802","$61,235,105 ","3,777",2-Apr,22-Jul
15,Grown Ups,Sony,"$162,001,186 ","3,534","$40,506,562 ","3,534",25-Jun,28-Oct
16,Little Fockers,Uni.,"$148,438,600 ","3,675","$30,833,665 ","3,536",22-Dec,17-Mar
17,Megamind,P/DW,"$148,415,853 ","3,949","$46,016,833 ","3,944",5-Nov,24-Feb
18,The King's Speech,Wein.,"$135,453,143 ","2,584","$355,450 ",4,25-Dec,31-Mar
19,The Last Airbender,Par.,"$131,772,187 ","3,203","$40,325,019 ","3,169",1-Jul,23-Sep
20,Shutter Island,Par.,"$128,012,934 ","3,356","$41,062,440 ","2,991",19-Feb,10-Jun
21,The Other Guys,Sony,"$119,219,978 ","3,651","$35,543,162 ","3,651",6-Aug,18-Nov
22,Salt,Sony,"$118,311,368 ","3,612","$36,011,243 ","3,612",23-Jul,28-Oct
23,Jackass 3-D,Par.,"$117,229,692 ","3,139","$50,353,641 ","3,081",15-Oct,20-Jan
24,Valentine's Day,WB,"$110,485,654 ","3,665","$56,260,707 ","3,665",12-Feb,6-May
25,Black Swan,FoxS,"$106,954,678 ","2,407","$1,443,809 ",18,17-Dec,5-May
26,Robin Hood,Uni.,"$105,269,730 ","3,505","$36,063,385 ","3,503",14-May,5-Aug
27,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,"$104,386,950 ","3,555","$24,005,069 ","3,555",10-Dec,14-Apr
28,The Expendables,LGF,"$103,068,524 ","3,398","$34,825,135 ","3,270",13-Aug,21-Oct
29,Due Date,WB,"$100,539,043 ","3,365","$32,689,406 ","3,355",5-Nov,27-Jan
30,Yogi Bear,WB,"$100,246,011 ","3,515","$16,411,322 ","3,515",17-Dec,7-Apr
31,Date Night,Fox,"$98,711,404 ","3,380","$25,207,599 ","3,374",9-Apr,9-Sep
32,The Social Network,Sony,"$96,962,694 ","2,921","$22,445,653 ","2,771",1-Oct,3-Mar
33,Sex and the City 2,WB (NL),"$95,347,692 ","3,445","$31,001,870 ","3,445",27-May,19-Aug
34,The Book of Eli,WB,"$94,835,059 ","3,111","$32,789,494 ","3,111",15-Jan,13-May
35,The Fighter,Par.,"$93,617,009 ","2,534","$300,010 ",4,17-Dec,31-Mar
36,The Town,WB,"$92,186,262 ","2,935","$23,808,032 ","2,861",17-Sep,6-Jan
37,Prince of Persia: The Sands of Time,BV,"$90,759,676 ","3,646","$30,095,259 ","3,646",28-May,23-Sep
38,Red,Sum.,"$90,380,162 ","3,349","$21,761,408 ","3,255",15-Oct,3-Feb
39,Percy Jackson & The Olympians: The Lightning Thief,Fox,"$88,768,303 ","3,396","$31,236,067 ","3,356",12-Feb,1-Jul
40,Paranormal Activity 2,Par.,"$84,752,907 ","3,239","$40,678,424 ","3,216",22-Oct,20-Jan
41,Unstoppable,Fox,"$81,562,942 ","3,261","$22,688,457 ","3,207",12-Nov,10-Mar
42,Eat Pray Love,Sony,"$80,574,010 ","3,108","$23,104,523 ","3,082",13-Aug,4-Nov
43,Dear John,SGem,"$80,014,842 ","3,062","$30,468,614 ","2,969",5-Feb,29-Apr
44,The A-Team,Fox,"$77,222,099 ","3,544","$25,669,455 ","3,535",11-Jun,16-Sep
45,Knight & Day,Fox,"$76,423,035 ","3,104","$20,139,985 ","3,098",23-Jun,7-Oct
46,Dinner for Schmucks,P/DW,"$73,026,337 ","3,046","$23,527,839 ","2,911",30-Jul,14-Oct
47,The Tourist,Sony,"$67,631,157 ","2,756","$16,472,458 ","2,756",10-Dec,10-Mar
48,The Bounty Hunter,Sony,"$67,061,228 ","3,118","$20,686,423 ","3,074",19-Mar,8-Jul
49,Diary of a Wimpy Kid,Fox,"$64,003,625 ","3,083","$22,126,166 ","3,077",19-Mar,19-Aug
50,The Sorcerer's Apprentice,BV,"$63,150,991 ","3,504","$17,619,622 ","3,504",14-Jul,28-Oct
51,A Nightmare on Elm Street (2010),WB (NL),"$63,075,011 ","3,332","$32,902,299 ","3,332",30-Apr,15-Jul
52,The Last Song,BV,"$62,950,384 ","2,794","$16,007,426 ","2,673",31-Mar,15-Jul
53,The Wolfman,Uni.,"$61,979,680 ","3,223","$31,479,235 ","3,222",12-Feb,1-Apr
54,Get Him to the Greek,Uni.,"$60,974,475 ","2,702","$17,570,955 ","2,697",4-Jun,12-Aug
55,Resident Evil: Afterlife,SGem,"$60,128,566 ","3,209","$26,650,264 ","3,203",10-Sep,4-Nov
56,Tyler Perry's Why Did I Get Married Too?,LGF,"$60,095,852 ","2,155","$29,289,537 ","2,155",2-Apr,10-Jun
57,Tooth Fairy,Fox,"$60,022,256 ","3,345","$14,010,409 ","3,344",22-Jan,24-Jun
58,Secretariat,BV,"$59,713,955 ","3,108","$12,694,770 ","3,072",8-Oct,10-Feb
59,Easy A,SGem,"$58,401,464 ","2,974","$17,734,040 ","2,856",17-Sep,23-Dec
60,Takers,SGem,"$57,744,720 ","2,206","$20,512,304 ","2,206",27-Aug,18-Nov
61,Legend of the Guardians: The Owls of Ga'Hoole,WB,"$55,675,313 ","3,575","$16,112,211 ","3,575",24-Sep,20-Jan
62,Life as We Know It,WB,"$53,374,681 ","3,150","$14,506,464 ","3,150",8-Oct,27-Jan
63,Letters to Juliet,Sum.,"$53,032,453 ","2,975","$13,540,486 ","2,968",14-May,26-Aug
64,Wall Street: Money Never Sleeps,Fox,"$52,474,616 ","3,597","$19,011,188 ","3,565",24-Sep,19-Dec
65,Predators,Fox,"$52,000,688 ","2,669","$24,760,882 ","2,669",9-Jul,14-Oct
66,Hot Tub Time Machine,MGM,"$50,287,556 ","2,771","$14,020,502 ","2,754",26-Mar,10-Jun
67,Kick-Ass,LGF,"$48,071,303 ","3,065","$19,828,687 ","3,065",16-Apr,1-Jul
68,Killers,LGF,"$47,059,963 ","2,859","$15,837,266 ","2,859",4-Jun,19-Aug
69,Saw 3D,LGF,"$45,710,178 ","2,808","$22,530,123 ","2,808",29-Oct,2-Dec
70,Cop Out,WB,"$44,875,481 ","3,150","$18,211,126 ","3,150",26-Feb,20-May
71,The Lovely Bones,P/DW,"$44,114,232 ","2,638","$116,616 ",3,15-Jan,18-Mar
72,Cats & Dogs: The Revenge of Kitty Galore,WB,"$43,585,753 ","3,705","$12,279,363 ","3,705",30-Jul,21-Oct
73,Edge of Darkness,WB,"$43,313,890 ","3,066","$17,214,384 ","3,066",29-Jan,8-Apr
74,Gulliver's Travels,Fox,"$42,779,261 ","3,089","$6,307,691 ","2,546",25-Dec,14-Apr
75,Death at a Funeral (2010),SGem,"$42,739,347 ","2,459","$16,217,540 ","2,459",16-Apr,8-Jul
76,Step Up 3-D,BV,"$42,400,223 ","2,439","$15,812,311 ","2,435",6-Aug,4-Nov
77,The Last Exorcism,LGF,"$41,034,350 ","2,874","$20,366,613 ","2,874",27-Aug,7-Oct
78,Legion (2010),SGem,"$40,168,080 ","2,476","$17,501,625 ","2,476",22-Jan,21-Mar
79,Crazy Heart,FoxS,"$39,464,306 ","1,361","$82,664 ",4,5-Feb,3-Jun
80,Burlesque,SGem,"$39,440,655 ","3,037","$11,947,744 ","3,037",24-Nov,10-Feb
81,The Crazies,Over.,"$39,123,589 ","2,479","$16,067,552 ","2,476",26-Feb,20-May
82,For Colored Girls,LGF,"$37,729,698 ","2,127","$19,497,324 ","2,127",5-Nov,20-Jan
83,The Back-Up Plan,CBS,"$37,490,007 ","3,280","$12,201,710 ","3,280",23-Apr,22-Jul
84,Vampires Suck,Fox,"$36,661,504 ","3,233","$12,202,831 ","3,233",18-Aug,11-Nov
85,The American,Focus,"$35,606,376 ","2,833","$13,177,790 ","2,823",1-Sep,4-Nov
86,Green Zone,Uni.,"$35,053,660 ","3,004","$14,309,295 ","3,003",12-Mar,6-May
87,Marmaduke,Fox,"$33,644,788 ","3,213","$11,599,661 ","3,213",4-Jun,16-Sep
88,Devil,Uni.,"$33,601,190 ","2,811","$12,289,375 ","2,809",17-Sep,18-Nov
89,Hereafter,WB,"$32,746,941 ","2,424","$220,322 ",6,22-Oct,13-Jan
90,When in Rome,BV,"$32,680,633 ","2,456","$12,350,041 ","2,456",29-Jan,15-Apr
91,Love and Other Drugs,Fox,"$32,367,005 ","2,458","$9,739,161 ","2,455",24-Nov,17-Feb
92,She's Out of My League,Par.,"$32,010,860 ","2,958","$9,775,278 ","2,956",12-Mar,20-May
93,Scott Pilgrim vs. the World,Uni.,"$31,524,275 ","2,820","$10,609,795 ","2,818",13-Aug,7-Oct
94,Charlie St. Cloud,Uni.,"$31,162,545 ","2,725","$12,381,585 ","2,718",30-Jul,16-Sep
95,Morning Glory,Par.,"$31,011,732 ","2,544","$9,203,266 ","2,518",10-Nov,20-Jan
96,How Do You Know,Sony,"$30,212,620 ","2,483","$7,484,696 ","2,483",17-Dec,27-Jan
97,Daybreakers,LGF,"$30,101,577 ","2,523","$15,146,692 ","2,523",8-Jan,11-Feb
98,Nanny McPhee Returns,Uni.,"$29,011,215 ","2,798","$8,407,685 ","2,784",20-Aug,28-Oct
99,The Switch,Mira.,"$27,779,426 ","2,017","$8,436,713 ","2,012",20-Aug,18-Nov
100,Brooklyn's Finest,Over.,"$27,163,593 ","1,939","$13,350,299 ","1,936",5-Mar,20-May
101,Machete,Fox,"$26,593,646 ","2,678","$11,416,164 ","2,670",3-Sep,18-Nov
102,Ramona and Beezus,Fox,"$26,167,002 ","2,719","$7,810,481 ","2,719",23-Jul,11-Nov
103,Leap Year,Uni.,"$25,918,920 ","2,512","$9,202,815 ","2,511",8-Jan,4-Mar
104,You Again,BV,"$25,702,053 ","2,548","$8,407,513 ","2,548",24-Sep,16-Dec
105,Alpha and Omega,LGF,"$25,107,267 ","2,625","$9,106,906 ","2,625",17-Sep,2-Dec
106,Piranha 3D,W/Dim.,"$25,003,155 ","2,491","$10,106,872 ","2,470",20-Aug,18-Nov
107,Lottery Ticket,WB,"$24,719,879 ","1,974","$10,652,297 ","1,973",20-Aug,4-Nov
108,The Spy Next Door,LGF,"$24,307,086 ","2,924","$9,726,056 ","2,924",15-Jan,4-Mar
109,From Paris with Love,LGF,"$24,077,427 ","2,722","$8,158,860 ","2,722",5-Feb,11-Mar
110,The Losers,WB,"$23,591,432 ","2,936","$9,406,348 ","2,936",23-Apr,24-Jun
111,Faster,CBS,"$23,240,020 ","2,470","$8,523,153 ","2,454",24-Nov,10-Feb
112,Just Wright,FoxS,"$21,540,363 ","1,831","$8,284,989 ","1,831",14-May,5-Aug
113,Skyline,Uni.,"$21,393,620 ","2,883","$11,692,415 ","2,880",12-Nov,21-Dec
114,The Next Three Days,LGF,"$21,148,651 ","2,564","$6,542,779 ","2,564",19-Nov,6-Jan
115,The Kids Are All Right,Focus,"$20,811,365 ",994,"$491,971 ",7,30-Jul,21-Oct
116,Our Family Wedding,FoxS,"$20,255,281 ","1,609","$7,629,862 ","1,605",12-Mar,17-Jun
117,Oceans,BV,"$19,422,319 ","1,232","$6,058,958 ","1,206",22-Apr,15-Jul
118,Remember Me,Sum.,"$19,068,240 ","2,215","$8,089,139 ","2,212",12-Mar,13-May
119,Going the Distance,WB (NL),"$17,804,299 ","3,030","$6,884,964 ","3,030",3-Sep,21-Oct
120,Furry Vengeance,Sum.,"$17,630,465 ","3,002","$6,627,564 ","2,997",30-Apr,15-Jul
121,Splice,WB,"$17,010,170 ","2,450","$7,385,277 ","2,450",4-Jun,5-Aug
122,The Ghost Writer,Sum.,"$15,541,549 ",819,"$183,009 ",4,19-Mar,17-Jun
123,Youth in Revolt,W/Dim.,"$15,281,286 ","1,873","$6,888,334 ","1,873",8-Jan,25-Mar
124,My Soul to Take,Uni.,"$14,744,435 ","2,572","$6,842,220 ","2,572",8-Oct,4-Nov
125,Repo Men,Uni.,"$13,794,835 ","2,521","$6,126,170 ","2,521",19-Mar,22-Apr
126,Case 39,ParV,"$13,261,851 ","2,212","$5,350,570 ","2,211",1-Oct,18-Nov
127,An Education,SPC,"$12,574,914 ",763,"$159,017 ",4,5-Feb,6-May
128,Let Me In,Over.,"$12,134,935 ","2,042","$5,147,479 ","2,020",1-Oct,9-Dec
129,Extraordinary Measures,CBS,"$12,068,313 ","2,549","$6,012,594 ","2,549",22-Jan,11-Feb
130,Avatar: Special Edition,Fox,"$10,741,486 ",812,"$4,007,750 ",812,27-Aug,18-Nov
131,Jonah Hex,WB,"$10,547,117 ","2,825","$5,379,365 ","2,825",18-Jun,12-Aug
132,MacGruber,Uni.,"$8,525,600 ","2,551","$4,043,495 ","2,551",21-May,10-Jun
133,The Imaginarium of Doctor Parnassus,SPC,"$7,689,607 ",607,"$415,233 ",48,8-Jan,27-May
134,Conviction,FoxS,"$6,783,129 ",672,"$102,351 ",11,5-Nov,26-Dec
135,It's Kind of a Funny Story,Focus,"$6,363,628 ",757,"$2,013,406 ",742,8-Oct,25-Nov
136,The Warrior's Way,Rela.,"$5,666,340 ","1,622","$3,048,665 ","1,622",3-Dec,3-Feb
137,Letters to God,Viv.,"$2,848,578 ",897,"$1,088,873 ",897,9-Apr,1-Jul
138,Twilight/New Moon Combo (one-night-only),Sum.,"$2,385,237 ","2,037",N/A,N/A,29-Jun,29-Jun
139,The Virginity Hit,Sony,"$636,706 ",700,"$301,885 ",700,24-Sep,7-Oct
140,Standing Ovation,RM,"$531,806 ",625,"$343,125 ",623,16-Jul,29-Jul
141,Leaves of Grass,First,"$70,066 ",6,"$20,987 ",3,17-Sep,14-Oct
