1,Spider-Man,Sony,"$403,706,375 ","3,876","$114,844,116 ","3,615",3-May,18-Aug
2,The Lord of the Rings: The Two Towers,NL,"$339,789,881 ","3,622","$62,007,528 ","3,622",18-Dec,24-Aug
3,Star Wars: Episode II - Attack of the Clones,Fox,"$302,191,252 ","3,161","$80,027,814 ","3,161",16-May,3-Nov
4,Harry Potter and the Chamber of Secrets,WB,"$261,988,482 ","3,682","$88,357,488 ","3,682",15-Nov,4-May
5,My Big Fat Greek Wedding,IFC,"$241,438,208 ","2,016","$597,362 ",108,2-Aug,13-Apr
6,Signs,BV,"$227,966,634 ","3,453","$60,117,080 ","3,264",2-Aug,6-Feb
7,Austin Powers in Goldmember,NL,"$213,307,889 ","3,613","$73,071,188 ","3,613",26-Jul,21-Nov
8,Men in Black II,Sony,"$190,418,803 ","3,641","$52,148,751 ","3,557",3-Jul,2-Sep
9,Ice Age,Fox,"$176,387,405 ","3,345","$46,312,454 ","3,316",15-Mar,2-Sep
10,A Beautiful Mind,Uni.,"$170,742,341 ","2,250","$367,151 ",11,4-Jan,30-May
11,Catch Me If You Can,DW,"$164,615,351 ","3,225","$30,053,627 ","3,156",25-Dec,22-May
12,Die Another Day,MGM,"$160,942,139 ","3,377","$47,072,040 ","3,314",22-Nov,1-May
13,Scooby-Doo,WB,"$153,294,164 ","3,447","$54,155,312 ","3,447",14-Jun,31-Oct
14,Lilo & Stitch,BV,"$145,794,338 ","3,222","$35,260,212 ","3,191",21-Jun,26-Nov
15,XXX,SonR,"$142,109,382 ","3,536","$44,506,103 ","3,374",9-Aug,5-Jan
16,The Santa Clause 2,BV,"$139,236,327 ","3,352","$29,008,696 ","3,350",1-Nov,6-Feb
17,Minority Report,Fox,"$132,072,926 ","3,001","$35,677,125 ","3,001",21-Jun,31-Oct
18,The Ring,DW,"$129,128,133 ","2,927","$15,015,393 ","1,981",18-Oct,20-Mar
19,Sweet Home Alabama,BV,"$127,223,418 ","3,313","$35,648,740 ","3,293",27-Sep,20-Feb
20,Mr. Deeds,Sony,"$126,293,452 ","3,239","$37,162,787 ","3,231",28-Jun,19-Dec
21,The Bourne Identity,Uni.,"$121,661,683 ","2,663","$27,118,640 ","2,638",14-Jun,21-Nov
22,The Sum of All Fears,Par.,"$118,907,036 ","3,230","$31,178,526 ","3,183",31-May,5-Sep
23,8 Mile,Uni.,"$116,750,901 ","2,585","$51,240,555 ","2,470",8-Nov,27-Mar
24,Black Hawk Down,SonR,"$108,638,745 ","3,143","$179,823 ",4,18-Jan,14-Apr
25,Road to Perdition,DW,"$104,454,762 ","2,332","$22,079,481 ","1,797",12-Jul,28-Nov
26,Panic Room,Sony,"$96,397,334 ","3,119","$30,056,751 ","3,053",29-Mar,9-Jun
27,Maid in Manhattan,SonR,"$94,011,225 ","3,050","$18,711,407 ","2,838",13-Dec,8-May
28,Two Weeks Notice,WB,"$93,354,851 ","2,755","$14,328,494 ","2,755",20-Dec,4-May
29,Red Dragon,Uni.,"$93,149,898 ","3,363","$36,540,945 ","3,357",4-Oct,2-Jan
30,The Scorpion King,Uni.,"$91,047,077 ","3,466","$36,075,875 ","3,444",19-Apr,27-Jun
31,Spy Kids 2: The Island of Lost Dreams,Dim.,"$85,846,429 ","3,307","$16,711,716 ","3,307",7-Aug,12-Jan
32,Blade II,NL,"$82,348,319 ","2,707","$32,528,016 ","2,707",22-Mar,30-May
33,Snow Dogs,BV,"$81,172,560 ","2,454","$17,814,259 ","2,302",18-Jan,13-Jun
34,We Were Soldiers,Par.,"$78,122,718 ","3,143","$20,212,543 ","3,143",1-Mar,4-Jul
