1,Return of the Jedi,Fox,"$252,583,617 ","1,764","$23,019,618 ","1,002",25-May
2,Terms of Endearment,Par.,"$108,423,489 ","1,259","$3,498,813 ",260,9-Dec
3,Flashdance,Par.,"$92,921,203 ","1,140","$4,076,124 ","1,140",15-Apr
4,Trading Places,Par.,"$90,404,800 ","1,389","$7,348,200 ","1,375",10-Jun
5,WarGames,MGM,"$79,567,667 ",977,"$6,227,804 ",843,3-Jun
6,Octopussy,MGM,"$67,893,619 ","1,339","$8,902,564 ","1,311",10-Jun
7,Sudden Impact,WB,"$67,642,693 ","1,602","$9,688,561 ","1,530",9-Dec
8,Staying Alive,Par.,"$64,892,670 ","1,747","$12,146,143 ","1,660",15-Jul
9,Mr. Mom,Fox,"$64,783,827 ","1,362","$947,197 ",126,19-Aug
10,Risky Business,WB,"$63,541,777 ","1,137","$4,275,327 ",670,5-Aug
11,National Lampoon's Vacation,WB,"$61,399,552 ","1,253","$8,333,358 ","1,175",29-Jul
12,Superman III,WB,"$59,950,623 ","1,763","$13,352,357 ","1,759",17-Jun
13,The Big Chill,Col.,"$56,342,711 ",832,"$3,662,152 ",722,30-Sep
14,Never Say Never Again,WB,"$55,432,841 ","1,560","$10,958,157 ","1,550",7-Oct
15,Gandhi,Col.,"$52,767,889 ",825,"$131,153 ",4,25-Feb
16,Jaws 3-D,Uni.,"$45,517,055 ","1,311","$13,422,500 ","1,300",22-Jul
17,Scarface (1983),Uni.,"$44,668,798 ","1,008","$4,597,536 ",996,9-Dec
18,Blue Thunder,Col.,"$42,313,354 ","1,555","$8,258,149 ","1,539",13-May
19,Psycho II,Uni.,"$34,725,000 ","1,488","$8,310,244 ","1,448",3-Jun
20,Porky's II: The Next Day,Fox,"$33,759,266 ","1,564","$7,054,988 ","1,511",24-Jun
21,Uncommon Valor,Par.,"$30,503,151 ","1,076","$3,144,367 ",989,16-Dec
22,Snow White and the Seven Dwarfs (Re-issue) (1983),BV,"$30,100,000 ","1,362","$6,017,914 ","1,362",15-Jul
23,Twilight Zone: The Movie,WB,"$29,450,919 ","1,288","$6,614,366 ","1,275",24-Jun
24,Easy Money,Orion,"$29,309,766 ","1,171","$5,844,974 ","1,130",19-Aug
25,High Road to China,WB,"$28,445,927 ","1,508","$6,156,049 ","1,508",18-Mar
26,The Outsiders,WB,"$25,697,647 ","1,002","$5,068,165 ",829,25-Mar
27,Spring Break,Col.,"$24,071,666 ","1,531","$5,908,574 ","1,493",25-Mar
28,Two of a Kind,Fox,"$23,646,952 ","1,278","$3,344,942 ","1,244",16-Dec
29,Class,Orion,"$21,667,789 ",844,"$4,553,233 ",839,22-Jul
30,Cujo,WB,"$21,156,152 ","1,293","$6,114,899 ","1,239",12-Aug
31,Christine,Col.,"$21,017,849 ","1,101","$3,408,904 ","1,045",9-Dec
32,The Rescuers (Re-issue),BV,"$21,000,000 ","1,040","$2,111,582 ",862,16-Dec
33,The Dead Zone,Par.,"$20,766,616 ","1,293","$4,556,083 ","1,293",21-Oct
34,Breathless,Orion,"$19,910,002 ","1,166","$4,384,369 ","1,161",13-May
35,A Christmas Story,MGM,"$19,294,144 ",938,"$2,072,473 ",886,18-Nov
36,Max Dugan Returns,Fox,"$17,613,720 ",801,"$2,791,002 ",790,25-Mar
37,All the Right Moves,Fox,"$17,233,166 ",909,"$1,625,486 ",442,28-Oct
38,Krull,Col.,"$16,519,460 ","1,289","$5,469,415 ","1,281",29-Jul
39,Spacehunter: Adventures in the Forbidden Zone,Col.,"$16,478,265 ","1,344","$7,053,016 ","1,338",20-May
40,Richard Pryor: Here and Now,Col.,"$16,156,776 ","1,411","$3,701,609 ","1,411",28-Oct
41,D.C. Cab,Uni.,"$16,134,627 ",908,"$1,564,530 ",862,16-Dec
42,Gorky Park,Orion,"$15,856,028 ",631,"$1,290,754 ",629,16-Dec
43,Cheech & Chong Still Smokin',Par.,"$15,543,710 ",730,"$3,085,705 ",710,6-May
44,Private School,Uni.,"$14,049,540 ","1,024","$4,411,861 ","1,024",29-Jul
45,The Survivors,Col.,"$14,000,000 ","1,014","$3,044,927 ","1,006",24-Jun
46,The Entity,Fox,"$13,277,558 ","1,035","$3,685,654 ","1,031",4-Feb
47,To Be or Not to Be (1983),Fox,"$13,030,214 ",645,"$1,020,958 ",638,16-Dec
48,Stroker Ace,Uni.,"$13,000,000 ","1,385","$4,668,135 ","1,385",1-Jul
49,Lone Wolf McQuade,Orion,"$12,232,628 ","1,221","$4,295,300 ","1,221",15-Apr
50,The Black Stallion Returns,MGM,"$12,049,108 ","1,376","$2,923,297 ","1,370",25-Mar
51,The Sword in the Stone (Re-issue),BV,"$12,000,000 ",741,"$2,230,614 ",487,1-Apr
52,The Lords of Discipline,Par.,"$11,787,127 ",800,"$3,011,932 ",800,18-Feb
53,Raiders of the Lost Ark (Re-issue) (1983),Par.,"$11,374,454 ",628,"$1,327,451 ",628,25-Mar
54,The Man Who Loved Women,Col.,"$10,964,231 ",845,"$1,347,032 ",802,16-Dec
55,Hercules (1983),MGM,"$10,676,194 ","1,014","$3,473,635 ","1,001",26-Aug
56,Doctor Detroit,Uni.,"$10,375,893 ","1,343","$3,295,722 ","1,343",6-May
57,Deal of the Century,WB,"$10,369,581 ","1,226","$3,520,605 ","1,217",4-Nov
58,The Man with Two Brains,WB,"$10,353,438 ","1,203","$3,498,931 ","1,203",3-Jun
59,The Year of Living Dangerously,WB,"$10,278,575 ",690,"$35,000 ",1,18-Feb
60,Lovesick,WB,"$10,171,304 ",744,"$3,093,281 ",718,18-Feb
61,Without a Trace,Fox,"$9,632,062 ",721,"$1,609,448 ",721,4-Feb
62,Strange Brew,MGM,"$8,571,374 ",849,"$1,913,389 ",849,26-Aug
63,Something Wicked This Way Comes,BV,"$8,400,000 ",817,"$2,423,555 ",817,29-Apr
64,Romantic Comedy,MGM,"$6,857,733 ",911,"$2,366,025 ",911,7-Oct
65,Nightmares,Uni.,"$6,670,680 ","1,025","$2,572,750 ","1,025",9-Sep
66,The Osterman Weekend,Fox,"$6,486,797 ",670,"$301,129 ",125,4-Nov
67,The Sting II,Uni.,"$6,347,072 ","1,294","$3,106,108 ","1,294",18-Feb
68,Amityville 3-D,Orion,"$6,333,135 ","1,254","$2,366,472 ","1,254",18-Nov
69,Beyond the Limit,Par.,"$5,997,566 ",707,"$2,208,976 ",700,30-Sep
70,The Hunger,MGM,"$5,979,292 ",775,"$1,832,898 ",775,29-Apr
71,Porky's (Re-issue),Fox,"$5,797,190 ","1,192","$2,139,827 ","1,192",6-May
72,Under Fire,Orion,"$5,696,391 ",816,"$1,837,768 ",816,21-Oct
73,Smokey & the Bandit Part III,Uni.,"$5,678,950 ","1,119","$1,728,060 ",498,2-Sep
74,A Night in Heaven,Fox,"$5,563,663 ",901,"$1,835,421 ",901,18-Nov
75,The Star Chamber,Fox,"$5,555,305 ",796,"$1,980,105 ",796,5-Aug
76,Metalstorm,Uni.,"$5,301,085 ",784,"$2,019,000 ",549,26-Aug
77,Curse of the Pink Panther,MGM,"$4,491,986 ",812,"$1,641,182 ",812,12-Aug
78,Trenchcoat,BV,"$4,304,286 ",723,"$2,192,621 ",723,11-Mar
79,Yellowbeard,Orion,"$4,300,000 ",761,"$1,564,155 ",761,24-Jun
80,Yor: Hunter from the Future,Col.,"$2,810,199 ","1,425","$2,810,199 ","1,425",19-Aug
81,The Man Who Wasn't There (1983),Par.,"$2,443,487 ",980,"$1,379,502 ",980,12-Aug
82,Videodrome,Uni.,"$2,120,439 ",600,"$1,194,175 ",600,4-Feb
83,Nate and Hayes,Par.,"$1,963,756 ",925,"$815,160 ",925,18-Nov
84,The Lonely Lady,Uni.,"$1,223,220 ",703,"$1,223,220 ",703,30-Sep
85,Rocky III (Re-issue),MGM,"$902,228 ","1,071","$902,228 ","1,071",6-May
