1,Toy Story,BV,"$191,796,233 ","2,574","$29,140,617 ","2,457",22-Nov
2,Batman Forever,WB,"$184,031,112 ","2,893","$52,784,433 ","2,842",16-Jun
3,Apollo 13,Uni.,"$172,071,312 ","2,347","$25,353,380 ","2,197",30-Jun
4,Pocahontas,BV,"$141,579,773 ","2,757","$2,689,714 ",6,23-Jun
5,Ace Ventura: When Nature Calls,WB,"$108,385,533 ","2,705","$37,804,076 ","2,652",10-Nov
6,GoldenEye,MGM,"$106,429,941 ","2,667","$26,205,007 ","2,667",17-Nov
7,Jumanji,Sony,"$100,475,249 ","2,530","$11,084,370 ","2,487",15-Dec
8,Casper,Uni.,"$100,328,194 ","2,757","$16,840,385 ","2,714",26-May
9,Seven,NL,"$100,125,643 ","2,528","$13,949,807 ","2,441",22-Sep
10,Die Hard: With A Vengeance,Fox,"$100,012,499 ","2,579","$22,162,245 ","2,525",19-May
11,Crimson Tide,BV,"$91,387,195 ","2,514","$18,612,190 ","2,382",12-May
12,Waterworld,Uni.,"$88,246,220 ","2,420","$21,171,780 ","2,268",28-Jul
13,Dangerous Minds,BV,"$84,919,401 ","1,783","$14,931,503 ","1,348",11-Aug
14,While You Were Sleeping,BV,"$81,057,016 ","2,086","$9,288,915 ","1,421",21-Apr
15,Congo,Par.,"$81,022,101 ","2,676","$24,642,539 ","2,649",9-Jun
16,Father of the Bride Part II,BV,"$76,594,107 ","2,148","$11,134,978 ","1,949",8-Dec
17,Braveheart,Par.,"$75,609,945 ","2,037","$9,938,276 ","2,035",24-May
18,Get Shorty,MGM,"$72,101,622 ","2,103","$12,700,007 ","1,612",20-Oct
19,Grumpier Old Men,WB,"$71,518,503 ","2,037","$7,797,185 ","1,995",22-Dec
20,The Bridges of Madison County,WB,"$71,516,617 ","1,986","$10,519,257 ","1,805",2-Jun
21,Mortal Kombat,NL,"$70,454,098 ","2,630","$23,283,887 ","2,421",18-Aug
