1,Star Wars: Episode I - The Phantom Menace,Fox,"$431,088,295 ","3,126","$64,820,970 ","2,970",19-May
2,The Sixth Sense,BV,"$293,506,292 ","2,821","$26,681,262 ","2,161",6-Aug
3,Toy Story 2,BV,"$245,852,179 ","3,257","$300,163 ",1,24-Nov
4,Austin Powers: The Spy Who Shagged Me,NL,"$206,040,086 ","3,314","$54,917,604 ","3,312",11-Jun
5,The Matrix,WB,"$171,479,930 ","2,903","$27,788,331 ","2,849",31-Mar
6,Tarzan,BV,"$171,091,819 ","3,131","$34,221,968 ","3,005",16-Jun
7,Big Daddy,Sony,"$163,479,795 ","3,254","$41,536,370 ","3,027",25-Jun
8,The Mummy,Uni.,"$155,385,488 ","3,411","$43,369,635 ","3,210",7-May
9,Runaway Bride,Par.,"$152,257,509 ","3,240","$35,055,556 ","3,158",30-Jul
10,The Blair Witch Project,Art.,"$140,539,099 ","2,538","$1,512,054 ",27,30-Jul
11,Stuart Little,Sony,"$140,035,367 ","3,151","$15,018,223 ","2,878",17-Dec
12,The Green Mile,WB,"$136,801,374 ","2,875","$18,017,152 ","2,875",10-Dec
13,American Beauty,DW,"$130,096,601 ","1,990","$861,531 ",16,1-Oct
14,The World Is Not Enough,MGM,"$126,943,684 ","3,163","$35,519,007 ","3,163",19-Nov
15,Double Jeopardy,Par.,"$116,741,558 ","3,002","$23,162,542 ","2,547",24-Sep
16,Notting Hill,Uni.,"$116,089,678 ","2,786","$21,811,180 ","2,747",28-May
17,Wild Wild West,WB,"$113,804,681 ","3,342","$27,687,484 ","3,342",30-Jun
18,Analyze This,WB,"$106,885,658 ","2,537","$18,383,507 ","2,518",5-Mar
19,The General's Daughter,Par.,"$102,705,852 ","2,858","$22,332,053 ","2,856",18-Jun
20,American Pie,Uni.,"$102,561,004 ","2,544","$18,709,680 ","2,508",9-Jul
21,Sleepy Hollow,Par.,"$101,071,502 ","3,069","$30,060,467 ","3,064",19-Nov
22,Shakespeare in Love,Mira.,"$100,317,794 ","2,030","$224,012 ",8,8-Jan
23,Inspector Gadget,BV,"$97,403,112 ","2,877","$21,889,138 ","2,814",23-Jul
24,The Haunting,DW,"$91,411,151 ","2,881","$33,435,140 ","2,808",23-Jul
25,Entrapment,Fox,"$87,704,396 ","2,879","$20,145,595 ","2,814",30-Apr
26,Pokemon: The First Movie,WB,"$85,744,662 ","3,043","$31,036,678 ","3,043",10-Nov
27,Payback,Par.,"$81,526,121 ","2,855","$21,221,526 ","2,729",5-Feb
28,The Talented Mr. Ripley,Par.,"$81,298,265 ","2,369","$12,738,237 ","2,307",25-Dec
29,Any Given Sunday,WB,"$75,530,832 ","2,505","$13,584,625 ","2,505",22-Dec
30,Deep Blue Sea,WB,"$73,648,142 ","2,901","$19,107,643 ","2,854",30-Jul
31,Galaxy Quest,DW,"$71,583,916 ","2,450","$7,012,630 ","2,412",25-Dec
32,The Thomas Crown Affair,MGM,"$69,305,181 ","2,427","$14,600,719 ","2,427",6-Aug
33,Blue Streak,Sony,"$68,518,533 ","2,735","$19,208,806 ","2,735",17-Sep
34,End of Days,Uni.,"$66,889,043 ","2,652","$20,523,595 ","2,593",24-Nov
35,The Bone Collector,Uni.,"$66,518,655 ","2,623","$16,712,020 ","2,587",5-Nov
36,Bowfinger,Uni.,"$66,384,775 ","2,746","$18,062,550 ","2,706",13-Aug
37,Deuce Bigalow: Male Gigolo,BV,"$65,538,755 ","2,162","$12,224,016 ","2,154",10-Dec
38,Life,Uni.,"$63,886,029 ","2,613","$20,414,775 ","2,594",16-Apr
39,She's All That,Mira.,"$63,366,989 ","2,654","$16,065,430 ","2,222",29-Jan
40,Three Kings,WB,"$60,652,036 ","2,942","$15,847,636 ","2,942",1-Oct
41,Bicentennial Man,BV,"$58,223,861 ","2,767","$8,234,926 ","2,518",17-Dec
42,Life Is Beautiful,Mira.,"$57,247,384 ","1,136","$118,920 ",6,12-Feb
43,A Civil Action,BV,"$56,709,981 ","2,319","$70,079 ",2,8-Jan
44,Eyes Wide Shut,WB,"$55,691,208 ","2,483","$21,706,163 ","2,411",16-Jul
45,Never Been Kissed,Fox,"$55,474,756 ","2,500","$11,836,707 ","2,455",9-Apr
46,Varsity Blues,Par.,"$52,894,169 ","2,364","$15,204,148 ","2,121",15-Jan
47,Forces of Nature,DW,"$52,888,180 ","2,335","$13,510,728 ","2,058",19-Mar
48,Message in a Bottle,WB,"$52,880,016 ","2,545","$16,751,560 ","2,538",12-Feb
49,"South Park - Bigger, Longer and Uncut",Par.,"$52,037,603 ","2,128","$11,335,889 ","2,128",30-Jun
50,Stigmata,MGM,"$50,046,268 ","2,901","$18,309,666 ","2,899",10-Sep
51,House on Haunted Hill,WB,"$40,846,082 ","2,710","$15,946,032 ","2,710",29-Oct
52,Anna and the King,Fox,"$39,263,420 ","2,132","$5,223,416 ","2,132",17-Dec
53,Cruel Intentions,Sony,"$38,328,567 ","2,312","$13,020,565 ","2,312",5-Mar
54,10 Things I Hate About You,BV,"$38,178,166 ","2,311","$8,330,681 ","2,271",31-Mar
55,Fight Club,Fox,"$37,030,102 ","1,966","$11,035,485 ","1,963",15-Oct
56,My Favorite Martian,BV,"$36,850,101 ","2,349","$8,828,586 ","2,275",12-Feb
57,8MM,Sony,"$36,663,315 ","2,370","$14,252,888 ","2,370",26-Feb
58,The Thin Red Line,Fox,"$36,400,491 ","1,657","$282,534 ",5,15-Jan
59,For Love of the Game,Uni.,"$35,188,640 ","2,933","$13,041,685 ","2,829",17-Sep
60,Man on the Moon,Uni.,"$34,607,430 ","2,079","$7,515,585 ","2,079",22-Dec
61,Instinct,BV,"$34,105,207 ","2,129","$10,390,387 ","2,059",4-Jun
62,The Best Man,Uni.,"$34,102,780 ","1,348","$9,031,660 ","1,346",22-Oct
63,Mickey Blue Eyes,WB,"$33,864,342 ","2,573","$10,178,289 ","2,573",20-Aug
64,The 13th Warrior,BV,"$32,698,899 ","2,313","$10,267,756 ","2,306",27-Aug
65,October Sky,Uni.,"$32,547,800 ","1,702","$5,905,250 ","1,495",19-Feb
66,Lake Placid,Fox,"$31,770,414 ","2,102","$10,974,145 ","2,096",16-Jul
67,Random Hearts,Sony,"$31,502,583 ","2,697","$13,012,585 ","2,697",8-Oct
68,Dogma,Lions,"$30,652,890 ","1,292","$8,669,945 ","1,269",12-Nov
69,Superstar,Par.,"$30,636,478 ","2,016","$8,912,743 ","1,943",8-Oct
70,Elizabeth ,Gram.,"$30,082,699 ",624,"$275,131 ",9,19-Feb
71,Mystery Men,Uni.,"$29,762,011 ","2,142","$10,017,865 ","2,136",6-Aug
72,The Insider,BV,"$29,089,912 ","1,844","$6,712,361 ","1,809",5-Nov
73,The Out-of-Towners,Par.,"$28,544,120 ","2,128","$8,224,215 ","2,102",2-Apr
74,The Other Sister,BV,"$27,807,627 ","1,863","$6,624,445 ","1,343",26-Feb
75,Baby Geniuses,Sony,"$27,250,736 ","1,702","$5,613,587 ","1,689",12-Mar
76,The Story of Us,Uni.,"$27,100,031 ","2,175","$9,673,080 ","2,164",15-Oct
77,Blast from the Past,NL,"$26,511,114 ","2,544","$7,771,066 ","2,542",12-Feb
78,The Wood,Par.,"$25,059,640 ","1,191","$8,515,223 ","1,191",16-Jul
79,Arlington Road,Sony,"$24,756,177 ","1,631","$7,515,145 ","1,631",9-Jul
80,The Iron Giant,WB,"$23,159,305 ","2,179","$5,732,614 ","2,179",3-Aug
81,Being John Malkovich,USA,"$22,863,596 ",630,"$637,721 ",25,3-Dec
82,EDtv,Uni.,"$22,431,897 ","2,631","$8,311,290 ","2,627",26-Mar
83,At First Sight,MGM,"$22,365,133 ","1,838","$8,444,321 ","1,814",15-Jan
84,The Bachelor,NL,"$21,760,240 ","2,524","$7,480,288 ","2,522",5-Nov
85,Stir of Echoes,Art.,"$21,142,914 ","1,943","$5,811,664 ","1,888",10-Sep
86,Doug's First Movie,BV,"$19,440,089 ","2,268","$4,470,489 ","2,268",26-Mar
87,Summer of Sam,BV,"$19,288,130 ","1,536","$5,952,452 ","1,536",2-Jul
88,Anywhere But Here,Fox,"$18,670,401 ","1,686","$5,607,137 ","1,672",12-Nov
89,An Ideal Husband,Mira.,"$18,542,974 ",772,"$192,802 ",10,2-Jul
90,Drive Me Crazy,Fox,"$17,845,337 ","2,233","$6,846,112 ","2,222",1-Oct
91,The Rage: Carrie 2,MGM,"$17,762,705 ","2,286","$7,065,123 ","2,286",12-Mar
92,Rushmore,BV,"$17,105,219 ",830,"$43,666 ",2,19-Feb
93,Go,Sony,"$16,943,454 ","1,563","$4,706,795 ","1,563",9-Apr
94,Bringing Out the Dead,Par.,"$16,797,191 ","1,967","$6,193,052 ","1,936",22-Oct
95,True Crime,WB,"$16,649,768 ","1,852","$5,276,109 ","1,852",19-Mar
96,Muppets from Space,Sony,"$16,625,807 ","2,265","$4,826,049 ","2,265",14-Jul
97,A Simple Plan ,Par.,"$16,316,273 ",675,"$390,563 ",31,22-Jan
98,A Midsummer Night's Dream,FoxS,"$16,071,990 ","1,099","$4,285,620 ","1,080",14-May
99,The Corruptor,NL,"$15,164,492 ","1,804","$5,765,300 ","1,804",12-Mar
100,Election,Par.,"$14,902,041 ",827,"$119,080 ",6,7-May
101,Music of the Heart,Mira.,"$14,859,394 ","1,353","$3,653,281 ","1,349",29-Oct
102,The Messenger: The Story of Joan of Arc,Sony,"$14,276,317 ","2,147","$6,360,968 ","2,147",12-Nov
103,Virus,Uni.,"$14,036,005 ","2,018","$6,013,640 ","2,018",15-Jan
104,In Too Deep,Mira.,"$14,011,454 ",674,"$4,220,297 ",667,27-Aug
105,The Deep End of the Ocean,Sony,"$13,898,649 ","1,907","$5,558,400 ","1,907",12-Mar
106,The Mod Squad,MGM,"$13,263,993 ","2,290","$6,064,716 ","2,290",26-Mar
107,Black Mask,Art.,"$12,504,289 ",988,"$4,449,692 ",979,14-May
108,In Dreams,DW,"$12,017,369 ","1,682","$3,992,449 ","1,670",15-Jan
109,The King and I (1999),WB,"$11,993,021 ","2,352","$4,007,565 ","2,352",19-Mar
110,The Thirteenth Floor,Sony,"$11,916,661 ","1,815","$3,322,416 ","1,815",28-May
111,The Adventures of Elmo in Grouchland,Sony,"$11,683,047 ","1,210","$3,255,033 ","1,210",1-Oct
112,The Muse,USA,"$11,614,954 ","1,263","$3,926,825 ","1,263",27-Aug
113,Wing Commander,Fox,"$11,578,059 ","2,019","$5,114,365 ","2,019",12-Mar
114,Chill Factor,WB,"$11,263,966 ","2,558","$4,529,231 ","2,558",3-Sep
115,Office Space,Fox,"$10,827,810 ","1,740","$4,231,727 ","1,740",19-Feb
116,The Astronaut's Wife,NL,"$10,672,566 ","2,209","$4,027,003 ","2,209",27-Aug
117,Universal Soldier: The Return,Sony,"$10,667,893 ","1,639","$4,605,167 ","1,639",20-Aug
118,Drop Dead Gorgeous,NL,"$10,571,408 ","1,207","$3,986,269 ","1,207",23-Jul
119,Three to Tango,WB,"$10,570,375 ","2,234","$4,406,135 ","2,234",22-Oct
120,Bats,Dest.,"$10,155,690 ","2,540","$4,717,902 ","2,540",22-Oct
121,Brokedown Palace,Fox,"$10,115,013 ","1,740","$3,871,616 ","1,740",13-Aug
122,Dudley Do-Right,Uni.,"$9,974,410 ","1,855","$3,018,345 ","1,802",27-Aug
123,Trippin',Oct.,"$9,017,070 ",781,"$2,527,909 ",777,14-May
124,Teaching Mrs. Tingle,Mira.,"$8,951,935 ","1,710","$3,326,870 ","1,710",20-Aug
125,"Mystery, Alaska",BV,"$8,891,623 ","1,704","$3,102,191 ","1,673",1-Oct
126,Pushing Tin,Fox,"$8,408,835 ","1,284","$3,555,032 ","1,283",23-Apr
127,Twin Dragons,Mira.,"$8,359,717 ","1,131","$2,829,990 ","1,129",9-Apr
128,The Love Letter,DW,"$8,302,478 ",817,"$2,692,819 ",769,21-May
129,Outside Providence,Mira.,"$7,302,522 ","1,052","$2,631,411 ","1,050",1-Sep
130,200 Cigarettes,Par.,"$6,852,450 ",978,"$3,244,277 ",976,26-Feb
131,Lost and Found (1999),WB,"$6,552,255 ","2,469","$3,024,709 ","2,469",23-Apr
132,Dick,Sony,"$6,262,878 ","1,522","$2,210,267 ","1,522",3-Aug
133,Light it Up,Fox,"$5,985,690 ","1,252","$2,408,613 ","1,219",10-Nov
134,Jakob the Liar,Sony,"$4,956,401 ","1,200","$2,056,647 ","1,200",24-Sep
135,Mumford,BV,"$4,555,459 ","1,452","$1,851,291 ","1,452",24-Sep
136,Simply Irresistible,Fox,"$4,398,989 ","1,359","$2,232,686 ","1,359",5-Feb
137,Detroit Rock City,NL,"$4,217,115 ","1,802","$2,005,512 ","1,802",13-Aug
138,Gloria,Sony,"$4,197,729 ","1,527","$2,143,089 ","1,527",22-Jan
139,Idle Hands,Sony,"$4,152,230 ","1,611","$1,807,181 ","1,611",30-Apr
140,Jawbreaker,Sony,"$3,117,085 ",801,"$1,603,425 ",801,19-Feb
141,Love Stinks,IA,"$2,924,635 ","1,325","$1,339,575 ","1,325",10-Sep
142,A Dog of Flanders,WB,"$2,165,637 ","1,267","$807,873 ","1,267",27-Aug
143,Ravenous,Fox,"$2,062,405 ","1,040","$1,040,727 ","1,040",19-Mar
144,Crazy in Alabama,Sony,"$2,005,840 ","1,214","$1,010,596 ","1,214",22-Oct
145,Goodbye Lover,WB,"$1,940,299 ",865,"$1,011,175 ",865,16-Apr
