1,Shrek 2,DW,"$441,226,247 ","4,223","$108,037,878 ","4,163",19-May,25-Nov
2,Spider-Man 2,Sony,"$373,585,825 ","4,166","$88,156,227 ","4,152",30-Jun,19-Dec
3,The Passion of the Christ,NM,"$370,274,604 ","3,408","$83,848,082 ","3,043",25-Feb,29-Jul
4,Meet the Fockers,Uni.,"$279,261,160 ","3,554","$46,120,980 ","3,518",22-Dec,16-Jun
5,The Incredibles,BV,"$261,441,092 ","3,933","$70,467,623 ","3,933",5-Nov,14-Apr
6,Harry Potter and the Prisoner of Azkaban,WB,"$249,541,069 ","3,855","$93,687,367 ","3,855",4-Jun,19-Dec
7,The Day After Tomorrow,Fox,"$186,740,799 ","3,444","$68,743,584 ","3,425",28-May,4-Nov
8,The Bourne Supremacy,Uni.,"$176,241,941 ","3,304","$52,521,865 ","3,165",23-Jul,23-Dec
9,National Treasure,BV,"$173,008,894 ","3,243","$35,142,554 ","3,017",19-Nov,2-Jun
10,The Polar Express,WB,"$162,775,358 ","3,650","$23,323,463 ","3,650",10-Nov,10-Mar
11,Shark Tale,DW,"$160,861,908 ","4,070","$47,604,606 ","4,016",1-Oct,6-Jan
12,"I, Robot",Fox,"$144,801,023 ","3,494","$52,179,887 ","3,420",16-Jul,30-Dec
13,Troy,WB,"$133,378,256 ","3,411","$46,865,412 ","3,411",14-May,30-Sep
14,Ocean's Twelve,WB,"$125,544,280 ","3,290","$39,153,380 ","3,290",10-Dec,24-Mar
15,50 First Dates,Sony,"$120,908,074 ","3,612","$39,852,237 ","3,591",13-Feb,8-Jul
16,Van Helsing,Uni.,"$120,177,084 ","3,580","$51,748,040 ","3,575",7-May,26-Aug
17,Fahrenheit 9/11,Lions,"$119,194,771 ","2,011","$23,920,637 ",868,25-Jun,28-Oct
18,Lemony Snicket's A Series of Unfortunate Events,Par.,"$118,634,549 ","3,623","$30,061,756 ","3,620",17-Dec,28-Apr
19,DodgeBall: A True Underdog Story,Fox,"$114,326,736 ","3,020","$30,070,196 ","2,694",18-Jun,4-Nov
20,The Village,BV,"$114,197,520 ","3,733","$50,746,142 ","3,730",30-Jul,2-Dec
21,The Grudge,Sony,"$110,359,362 ","3,348","$39,128,715 ","3,245",22-Oct,30-Dec
22,The Aviator,Mira.,"$102,610,330 ","2,530","$858,021 ",40,25-Dec,2-Jun
23,Collateral,DW,"$101,005,703 ","3,205","$24,701,458 ","3,188",6-Aug,25-Nov
24,The Princess Diaries 2: Royal Engagement,BV,"$95,170,481 ","3,490","$22,956,453 ","3,472",11-Aug,23-Dec
25,Starsky and Hutch,WB,"$88,237,754 ","3,185","$28,103,367 ","3,185",5-Mar,15-Jul
26,Along Came Polly,Uni.,"$88,097,164 ","3,052","$27,721,185 ","2,984",16-Jan,10-Jun
27,Mean Girls,Par.,"$86,058,055 ","3,054","$24,432,195 ","2,839",30-Apr,9-Sep
28,The SpongeBob SquarePants Movie,Par.,"$85,417,988 ","3,307","$32,018,216 ","3,212",19-Nov,24-Mar
29,Anchorman: The Legend of Ron Burgundy,DW,"$85,288,303 ","3,104","$28,416,365 ","3,091",9-Jul,7-Oct
30,Scooby-Doo 2: Monsters Unleashed,WB,"$84,216,833 ","3,312","$29,438,331 ","3,312",26-Mar,26-Aug
31,The Notebook,NL,"$81,001,787 ","2,323","$13,464,745 ","2,303",25-Jun,21-Nov
32,Alien Vs. Predator,Fox,"$80,282,231 ","3,401","$38,291,056 ","3,395",13-Aug,2-Dec
33,Man on Fire,Fox,"$77,911,774 ","2,986","$22,751,490 ","2,980",23-Apr,6-Sep
34,The Terminal,DW,"$77,872,883 ","2,914","$19,053,199 ","2,811",18-Jun,9-Sep
35,Garfield: The Movie,Fox,"$75,369,589 ","3,150","$21,727,611 ","3,094",11-Jun,4-Nov
36,Ray,Uni.,"$75,331,600 ","2,474","$20,039,730 ","2,006",29-Oct,17-Mar
37,Ladder 49,BV,"$74,541,707 ","3,261","$22,088,204 ","3,260",1-Oct,24-Feb
38,Christmas with the Kranks,SonR,"$73,780,539 ","3,416","$21,570,867 ","3,393",24-Nov,13-Jan
39,White Chicks,Sony,"$70,831,760 ","2,800","$19,676,748 ","2,726",23-Jun,9-Sep
40,Hidalgo,BV,"$67,303,450 ","3,065","$18,829,435 ","3,063",5-Mar,22-Jul
41,The Forgotten,SonR,"$67,133,509 ","3,144","$21,022,111 ","3,104",24-Sep,21-Nov
42,Big Fish,Sony,"$66,809,693 ","2,514","$207,377 ",6,9-Jan,20-May
43,Kill Bill Vol. 2,Mira.,"$66,208,183 ","3,073","$25,104,949 ","2,971",16-Apr,26-Aug
44,The Manchurian Candidate,Par.,"$65,955,630 ","2,867","$20,018,620 ","2,867",30-Jul,18-Nov
45,Barbershop 2: Back in Business,MGM,"$65,111,277 ","2,711","$24,241,612 ","2,711",6-Feb,10-Jun
46,Miracle,BV,"$64,378,093 ","2,755","$19,377,577 ","2,605",6-Feb,6-May
47,Friday Night Lights,Uni.,"$61,255,921 ","3,004","$20,269,025 ","2,667",8-Oct,30-Dec
48,Hellboy,SonR,"$59,623,958 ","3,043","$23,172,440 ","3,028",2-Apr,1-Jul
49,The Stepford Wives,Par.,"$59,484,742 ","3,057","$21,406,781 ","3,057",11-Jun,16-Sep
50,Dawn of the Dead,Uni.,"$59,020,957 ","2,748","$26,722,575 ","2,745",19-Mar,17-Jun
51,Without a Paddle,Par.,"$58,169,327 ","2,756","$13,528,946 ","2,730",20-Aug,13-Jan
52,The Butterfly Effect,NL,"$57,938,693 ","2,605","$17,065,227 ","2,605",23-Jan,20-May
53,Shall We Dance,Mira.,"$57,890,460 ","2,542","$11,783,467 ","1,772",15-Oct,24-Feb
54,The Chronicles of Riddick,Uni.,"$57,761,012 ","2,757","$24,289,165 ","2,757",11-Jun,26-Aug
55,13 Going on 30,SonR,"$57,231,747 ","3,453","$21,054,283 ","3,438",23-Apr,19-Aug
56,Saw,Lions,"$55,185,045 ","2,467","$18,276,468 ","2,315",29-Oct,30-Dec
57,Hero,Mira.,"$53,710,019 ","2,175","$18,004,319 ","2,031",27-Aug,25-Nov
58,Blade: Trinity,NL,"$52,411,906 ","2,912","$16,061,271 ","2,912",8-Dec,24-Feb
59,King Arthur,BV,"$51,882,244 ","3,086","$15,193,907 ","3,086",7-Jul,14-Oct
60,Finding Neverland,Mira.,"$51,680,613 ","1,411","$220,524 ",8,17-Dec,28-Apr
61,A Cinderella Story,WB,"$51,438,175 ","2,625","$13,623,350 ","2,625",16-Jul,21-Oct
62,The Phantom of the Opera,WB,"$51,268,815 ","1,515","$4,001,890 ",622,22-Dec,12-May
63,Resident Evil: Apocalypse,SGem,"$51,201,453 ","3,284","$23,036,273 ","3,284",10-Sep,4-Nov
64,Home on the Range,BV,"$50,030,461 ","3,058","$13,880,771 ","3,047",2-Apr,26-Aug
65,Fat Albert,Fox,"$48,116,322 ","2,744","$10,021,510 ","2,674",25-Dec,7-Apr
